# GENERATED by analysis/run_index.py from the packed run_manifest.json files and streams -- do not edit.
# The prose half of the registry is runs_registry.tsv.
run	group	provenance	binary	binary_version	preflight	eps	eps2	max_level	L	N1	stop_time	restart	H0	seed_check	name_check	binary_check	intent_check
single_eps_p1e3_t100	01_single_throat/seed	reconstructed	main3d_boost_2026-09-08.ex	unstamped	none (launched before 2026-09-24)	0.001	0	3	64.0	128	100.0		2.1056971226e-03	took (t=0 data differs from unseeded single_hold_chireg_t100)	ok	unknown	checkpoints asked for (interval/keep) with checkpoint output off: none written
single_pureq_q1e2_L128_ml4_scalar_t100	01_single_throat/seed	reconstructed	main3d_boost_2026-09-08.ex	unstamped	none (launched before 2026-09-24)	0	0.01	4	128.0	256	100.0		6.5838765760e-04	NOT APPLIED: the binary does not contain wormhole_seed_l2_amplitude_A; NOT APPLIED: t=0 data identical to single_hold_L128_t100, which lacks l2_amplitude_A	ok	lacks: wormhole_seed_l2_amplitude_A, core_radial_profile, core_profile_r_max, core_profile_dr, core_profile_interval	ok
single_pureq_q1e2_ml4_scalar_t100	01_single_throat/seed	reconstructed	main3d_boost_2026-09-08.ex	unstamped	none (launched before 2026-09-24)	0	0.01	4	64.0	128	100.0		2.0955094722e-03	NOT APPLIED: the binary does not contain wormhole_seed_l2_amplitude_A; NOT APPLIED: t=0 data identical to stage1_lapse5, which lacks l2_amplitude_A (+17 more)	ok	lacks: wormhole_seed_l2_amplitude_A, core_radial_profile, core_profile_r_max, core_profile_dr, core_profile_interval	checkpoints asked for (interval/keep) with checkpoint output off: none written
single_pureq_q1e2_ml4_t100	01_single_throat/seed	reconstructed	main3d_coreprof_2026-09-16.ex	unstamped	none (launched before 2026-09-24)	0	0.01	4	64.0	128	100.0		2.1426513012e-03	took (t=0 data differs from unseeded single_hold_chireg_t100)	ok	ok	checkpoints asked for (interval/keep) with checkpoint output off: none written
s20_boost_p02	02_moving_throat	reconstructed			none (launched before 2026-09-24)	0	0	3	64.0	128	40.0		2.0954624849e-03	n/a	ok	unknown	ok
ctrl_flip_d12	03_two_throats	reconstructed			none (launched before 2026-09-24)	0	0	3	64.0	128	30.0		2.9899481192e-03	n/a	ok	unknown	ok
ctrl_rest_a1	03_two_throats	reconstructed			none (launched before 2026-09-24)	0	0	3	64.0	128	15.0		6.1057922235e-03	n/a	ok	unknown	ok
ctrl_rest_a15	03_two_throats	reconstructed	main3d.gnu.MPI.CUDA.ex	unstamped	none (launched before 2026-09-24)	0	0	3	64.0	128	15.0		4.1865860091e-03	n/a	ok	unknown	checkpoints asked for (interval/keep) with checkpoint output off: none written
ctrl_rest_a3	03_two_throats	reconstructed	main3d.gnu.MPI.CUDA.ex	unstamped	none (launched before 2026-09-24)	0	0	3	64.0	128	15.0		2.3553042573e-03	n/a	ok	unknown	checkpoints asked for (interval/keep) with checkpoint output off: none written
ctrl_rest_d12	03_two_throats	reconstructed			none (launched before 2026-09-24)	0	0	3	64.0	128	15.0		2.9790508886e-03	n/a	ok	unknown	ok
