# longest merger arm p=0.12, all Weyl segments stitched (r03000 joined 0-50.5 | m9b_fillwide80 50.5-79.5 | m9b_fillwide100 80.5-97)
# time Re_m0(R14) Im_m0(R14) Re_m2(R14) Im_m2(R14) Re_m0(R30) Im_m0(R30) Re_m2(R30) Im_m2(R30)
1.6000000000e+01 -9.1764755172e-03 4.5128474203e-14 1.1881557740e-02 1.3024059590e-03 -5.7573364696e-05 -3.6707471112e-15 1.0842921995e-04 -4.0081505352e-05
1.6500000000e+01 -9.6502683821e-03 4.1329026180e-14 1.2440952033e-02 1.4407182118e-03 -8.1037882903e-05 1.0500284959e-15 1.4114582373e-04 -2.3951144403e-05
1.7000000000e+01 -1.0055321457e-02 6.2007917654e-14 1.2895381072e-02 1.5852699530e-03 -1.0710596146e-04 -2.3659849708e-15 1.7742615329e-04 -6.2724547956e-06
1.7500000000e+01 -1.0360858309e-02 9.0486759456e-14 1.3238510174e-02 1.7343600515e-03 -1.3605106764e-04 1.9211044733e-15 2.1768636282e-04 1.3087718560e-05
1.8000000000e+01 -1.0570073338e-02 8.7697127595e-14 1.3452482565e-02 1.8892476297e-03 -1.6818438350e-04 -1.5718415548e-15 2.6237252636e-04 3.4167907331e-05
1.8500000000e+01 -1.0671837476e-02 -7.5477327161e-15 1.3532228301e-02 2.0507329739e-03 -2.0388186176e-04 1.0321328073e-15 3.1201167527e-04 5.6806642645e-05
1.9000000000e+01 -1.0657317123e-02 1.5326752861e-14 1.3469050112e-02 2.2180465833e-03 -2.4361785427e-04 2.1138700477e-15 3.6723670260e-04 8.0956039030e-05
1.9500000000e+01 -1.0526563867e-02 1.1197288011e-13 1.3258128282e-02 2.3899828345e-03 -2.8789940501e-04 4.3040719253e-15 4.2865142012e-04 1.0697989869e-04
2.0000000000e+01 -1.0280575912e-02 2.8426842450e-14 1.2899580180e-02 2.5680799028e-03 -3.3729405178e-04 4.7489937156e-15 4.9697494170e-04 1.3543768607e-04
2.0500000000e+01 -9.9159818495e-03 8.3411420403e-14 1.2394017751e-02 2.7500432212e-03 -3.9229591932e-04 3.2477188727e-16 5.7293621922e-04 1.6676145747e-04
2.1000000000e+01 -9.4368877072e-03 4.3917858716e-14 1.1745078927e-02 2.9347740922e-03 -4.5348776474e-04 7.2801606329e-15 6.5739267558e-04 2.0088318051e-04
2.1500000000e+01 -8.8523287403e-03 1.8977048123e-14 1.0958171914e-02 3.1211859657e-03 -5.2161229215e-04 -4.3201948004e-15 7.5123005229e-04 2.3727960367e-04
2.2000000000e+01 -8.1661102523e-03 -2.8615083664e-14 1.0044419008e-02 3.3077644909e-03 -5.9745358883e-04 3.4250184857e-15 8.5542726484e-04 2.7577789677e-04
2.2500000000e+01 -7.3880296540e-03 -5.2317965769e-14 9.0121508133e-03 3.4942450483e-03 -6.8183987214e-04 -3.3477158766e-15 9.7115367518e-04 3.1701616392e-04
2.3000000000e+01 -6.5305710121e-03 2.1849831514e-14 7.8742629003e-03 3.6792076651e-03 -7.7558565769e-04 -3.8228823018e-15 1.0995181123e-03 3.6195916011e-04
2.3500000000e+01 -5.6023585736e-03 -7.5259060323e-14 6.6422701776e-03 3.8592109754e-03 -8.7975827478e-04 -3.1371846465e-15 1.2417391272e-03 4.1104197251e-04
2.4000000000e+01 -4.6070340165e-03 -3.9609632306e-14 5.3293938187e-03 4.0338411054e-03 -9.9548647893e-04 -2.5180439284e-15 1.3989819489e-03 4.6399888315e-04
2.4500000000e+01 -3.5658513775e-03 -1.2014357337e-13 3.9466659334e-03 4.1984128526e-03 -1.1224837339e-03 3.5174557206e-15 1.5716574847e-03 5.2029739156e-04
2.5000000000e+01 -2.4827341463e-03 -1.8571536182e-14 2.5090262075e-03 4.3527801120e-03 -1.2638208954e-03 2.2237723741e-15 1.7622625833e-03 5.8025214533e-04
2.5500000000e+01 -1.3698347946e-03 6.8813037950e-14 1.0277906629e-03 4.4933311051e-03 -1.4201119758e-03 -2.3227465858e-15 1.9716109162e-03 6.4330679267e-04
2.6000000000e+01 -2.3969182984e-04 -8.2107985775e-14 -4.8748641694e-04 4.6177932284e-03 -1.5913430009e-03 -1.7205629380e-15 2.2007072915e-03 7.0893829809e-04
2.6500000000e+01 9.0579352245e-04 5.9344104067e-14 -2.0218415210e-03 4.7211988332e-03 -1.7793826183e-03 3.1366927056e-16 2.4505360492e-03 7.7660157997e-04
2.7000000000e+01 2.0550483338e-03 -4.4439488710e-14 -3.5677376546e-03 4.8026329046e-03 -1.9856213342e-03 2.6558882174e-15 2.7218279691e-03 8.4627651093e-04
2.7500000000e+01 3.1999249290e-03 -9.7722733226e-15 -5.1139671387e-03 4.8581621860e-03 -2.2094500080e-03 -1.1925098932e-15 3.0148720831e-03 9.1800869387e-04
2.8000000000e+01 4.3364097207e-03 8.9349450012e-14 -6.6553883681e-03 4.8864702398e-03 -2.4522567904e-03 5.1590786290e-15 3.3292826454e-03 9.9197277218e-04
2.8500000000e+01 5.4543401860e-03 3.2297823677e-14 -8.1837734038e-03 4.8820854365e-03 -2.7145171193e-03 8.2846254398e-16 3.6642918960e-03 1.0674745167e-03
2.9000000000e+01 6.5576898505e-03 1.3064582985e-13 -9.6891918585e-03 4.8436661876e-03 -2.9947805302e-03 9.1937591370e-16 4.0188021878e-03 1.1436687954e-03
2.9500000000e+01 7.6375252695e-03 -1.1647368793e-13 -1.1166446242e-02 4.7633039087e-03 -3.2911837203e-03 -7.8256664607e-15 4.3909451541e-03 1.2204511413e-03
3.0000000000e+01 8.6931648461e-03 1.4821451968e-14 -1.2614057072e-02 4.6369818900e-03 -3.6025508621e-03 2.1829373128e-15 4.7776377242e-03 1.2978544647e-03
3.0500000000e+01 9.7141491329e-03 1.5746845669e-13 -1.4024074067e-02 4.4647658987e-03 -3.9323605192e-03 -6.1339108485e-15 5.1816852208e-03 1.3739571392e-03
3.1000000000e+01 1.0694733824e-02 -5.2497938671e-14 -1.5384482676e-02 4.2375689573e-03 -4.2593829810e-03 -6.2442104201e-15 5.5773042671e-03 1.4524556616e-03
3.1500000000e+01 1.1635427792e-02 6.1340926642e-14 -1.6691961768e-02 3.9592018953e-03 -4.5905760808e-03 -3.9010091798e-15 5.9682539212e-03 1.5305423556e-03
3.2000000000e+01 1.2532177879e-02 8.7696404229e-14 -1.7937057113e-02 3.6227082018e-03 -4.9333314499e-03 4.5913812659e-15 6.3697904304e-03 1.6026428898e-03
3.2500000000e+01 1.3372727965e-02 1.9226388873e-13 -1.9107819031e-02 3.2282130009e-03 -5.2650093771e-03 -6.6976568029e-15 6.7522988705e-03 1.6747652663e-03
3.3000000000e+01 1.4161239865e-02 -2.0348635700e-13 -2.0197696668e-02 2.7754248542e-03 -5.5720496551e-03 -1.0953511378e-14 7.0982317273e-03 1.7479680865e-03
3.3500000000e+01 1.4882015749e-02 -1.0920656198e-13 -2.1199025796e-02 2.2602111188e-03 -5.8494155315e-03 -5.6074714015e-15 7.4030554772e-03 1.8182994615e-03
3.4000000000e+01 1.5536579156e-02 -6.8760054345e-14 -2.2097696989e-02 1.6879606326e-03 -6.0911385019e-03 -1.1421413437e-15 7.6608689500e-03 1.8830094885e-03
3.4500000000e+01 1.6114548676e-02 -1.0272852176e-13 -2.2888470585e-02 1.0528760001e-03 -6.2890805808e-03 7.0316143655e-15 7.8608229385e-03 1.9424624352e-03
3.5000000000e+01 1.6600656208e-02 -4.7900404346e-14 -2.3556512218e-02 3.5823500176e-04 -6.4322913846e-03 1.0540827397e-14 7.9910478921e-03 1.9989738783e-03
3.5500000000e+01 1.7004130309e-02 -5.2792446521e-14 -2.4091858689e-02 -3.8937153257e-04 -6.5102382134e-03 1.0222843817e-14 8.0401154701e-03 2.0537775512e-03
3.6000000000e+01 1.7305611854e-02 -1.9366721903e-13 -2.4481104896e-02 -1.1887039013e-03 -6.5143482418e-03 1.7202268777e-14 7.9984729058e-03 2.1061581065e-03
3.6500000000e+01 1.7507207745e-02 -2.2868738966e-13 -2.4717743474e-02 -2.0339961108e-03 -6.4395341688e-03 2.1553567818e-14 7.8578297703e-03 2.1548015472e-03
3.7000000000e+01 1.7590582860e-02 -1.1386209900e-13 -2.4793600511e-02 -2.9193736032e-03 -6.2798622712e-03 9.1270965852e-15 7.6109299109e-03 2.1992282109e-03
3.7500000000e+01 1.7555629663e-02 -3.7836370186e-13 -2.4693548088e-02 -3.8357353385e-03 -6.0288380915e-03 1.6644877157e-14 7.2523960501e-03 2.2395821167e-03
3.8000000000e+01 1.7400558275e-02 -9.7814233113e-14 -2.4414037431e-02 -4.7713272898e-03 -5.6847613187e-03 7.6024722203e-15 6.7789117045e-03 2.2754172655e-03
