# time  Re(R=10)  Im(R=10)  Re(R=14)  Im(R=14)  Re(R=18)  Im(R=18)  Re(R=22)  Im(R=22)
6.0999999999996398e+01  9.9198328494076146e-05  6.1893846788789806e-11  1.0501689573661542e-03  -2.4389298367703425e-10  8.1427437030883094e-04  2.6295679535917917e-10  -1.7743642708609713e-03  1.3232826038106743e-09
6.1999999999996199e+01  4.3955191549044159e-04  -3.5570930190528976e-11  9.5695924720070225e-04  -9.4174808257087870e-11  1.0314448486238104e-03  -3.1268607797593081e-10  -2.4008920829293049e-03  -2.7907999745090504e-10
6.2999999999996000e+01  -4.1449771622575963e-04  -7.8135467432957243e-11  3.5356171375549363e-04  -1.6374521381758777e-11  1.1310575281686364e-03  3.0197556657301982e-10  -2.0809333225061994e-03  -2.6715402663613005e-10
6.3999999999995801e+01  -9.7149245439707554e-04  7.2677332618611557e-11  1.6581640372718201e-03  1.8879920616373113e-11  3.1294771966023887e-03  4.7226859517386645e-10  -9.9855355222414110e-04  4.7589151041372804e-10
6.4999999999996305e+01  1.0029082540068774e-03  -2.9472528327666831e-11  9.2884388406118000e-04  -3.4383514224277552e-11  5.1961755854687715e-03  -1.3824159733394848e-09  -1.4534851188774801e-03  -1.4049849055825908e-09
6.5999999999996902e+01  6.4669015559121515e-04  -7.2104808790292104e-11  -6.2857292982326709e-04  -2.4717037892758404e-10  3.4407360915443470e-03  1.7077060945908394e-09  -7.4974546982846532e-04  1.9730312212189534e-09
6.6999999999997399e+01  -2.6999375679817426e-04  -6.2648921268753335e-11  8.1167767637160934e-04  4.6634232401712350e-10  -3.0130546240029199e-03  -1.9306656768831873e-09  -3.3514737109099145e-03  -1.0069093734852462e-09
6.7999999999997897e+01  -7.1760845031768549e-04  1.9903094883031014e-10  6.0735726748136073e-04  -3.5912751535336822e-10  -1.0129774573822451e-03  8.5576046636521761e-10  -6.8618299355415586e-04  -5.4358094271055294e-10
6.8999999999998394e+01  -8.2811926093704009e-04  -1.4850442896457392e-11  5.6072227392289212e-04  -5.2483164719946076e-10  3.4419547871767692e-03  1.1550401423045516e-09  6.8044104100354133e-04  2.4782491907699853e-09
6.9999999999998906e+01  -3.8131753240632410e-04  -2.6116057326846048e-11  2.9751505524373612e-03  6.8480100253461567e-11  3.0774544312048868e-03  -2.0088701535311074e-09  4.9958460843146837e-03  -1.6779384014971477e-10
7.0999999999999403e+01  -1.3637247323423306e-03  -1.3928064416133878e-10  4.3228691295906898e-03  1.3052832527805636e-09  -4.4570716350672372e-05  1.7724229264675314e-10  5.0572816015890089e-03  1.5287783349239233e-09
7.1999999999999901e+01  4.8893180061219759e-04  8.6365075724102394e-11  2.9946429643756380e-03  -2.1581225299591645e-10  -4.6794578051343410e-04  -2.4258949461962432e-10  -1.0346049933606391e-03  -2.9617100641712464e-10
7.3000000000000398e+01  3.6990340609834435e-03  2.6789630567198856e-10  5.4433386934766874e-03  9.3480974368542183e-11  -5.4854257210786642e-03  4.6031154405429991e-11  -2.4618567189274606e-03  -7.5658212107944611e-10
7.4000000000000995e+01  -3.1912712921976162e-03  -8.4521316841303009e-10  1.8861553151705353e-03  -1.9307881185331730e-09  -3.6536159954859188e-03  1.8645889792342612e-09  -1.4013029188291094e-04  -3.2186336985526933e-09
7.5000000000001506e+01  2.5936814907241419e-03  4.6486555065192141e-10  -1.7163586480522317e-03  1.0612763013745417e-09  8.2096539928879185e-03  -1.2134893334950819e-09  2.4340939715129396e-03  -2.4274950180609343e-09
7.6000000000002004e+01  1.1006978323126774e-03  2.7619801833918863e-10  3.7854387244365918e-03  3.1429581617344796e-09  -9.9569196533543861e-03  -2.9418300658355493e-09  -5.5736388110641773e-03  4.1794399158644905e-09
7.7000000000002501e+01  -2.5852205379254044e-03  -8.2518132518000220e-10  6.2364476568569161e-03  -3.4758445157745486e-10  -1.1383778334190428e-02  1.2947696099692099e-08  -1.4953628767382352e-02  -6.8092361473571844e-09
7.8000000000002998e+01  6.9269104662970015e-03  7.3639147412523937e-10  -2.7672647735969115e-03  -1.4257259110689398e-09  -8.3811339827647383e-03  -8.3226112394116982e-09  -4.4611181394454569e-03  1.2338295398692028e-08
7.9000000000003496e+01  -1.1337310166620675e-02  -2.7784284204954157e-11  6.7443325679534824e-03  -5.3931551429688189e-09  5.5500646949556930e-04  4.5844307500599382e-09  2.7075930925901426e-02  -1.9271981851614415e-08
8.0000000000003993e+01  7.3526368678604763e-03  -2.1288769690510929e-10  1.5593121729172918e-02  5.4175336726329424e-09  1.2017679530856440e-02  -1.6715559694985018e-08  -4.2959252215519139e-03  2.0737870296862193e-08
8.1000000000004505e+01  -5.3094164902021393e-03  -9.4406005416396285e-10  -2.9745428115047533e-03  9.7969881144603838e-09  -3.7998261164838478e-03  1.6164445337168702e-08  -2.0954526637574678e-02  -1.0165346712790715e-08
8.2000000000005002e+01  -6.9869554774864076e-04  2.1218359793861411e-10  -3.0499535628901110e-03  -1.0443179827039552e-08  1.2665195758919825e-02  -1.9971528356411847e-08  1.6659199568765878e-03  7.7319498055297155e-09
8.3000000000005599e+01  3.0975019051931131e-03  7.9260574696555586e-10  3.7799173550714139e-03  5.2059140207654688e-09  -2.7041533008893968e-02  1.6606670944246738e-08  4.5470087307156008e-03  -3.6693307656732144e-08
8.4000000000006096e+01  -7.0678224649478837e-03  2.7457435143662739e-09  -1.6363090117425807e-03  -5.5561490625301540e-10  -6.1499417032810588e-02  3.5583321600531201e-09  -1.6355575788318519e-02  3.6024670178493639e-08
8.5000000000006594e+01  1.7601930211437904e-02  -5.0916648339983830e-09  -1.5617231365297884e-02  4.4898037794567473e-09  -1.3079371513835925e-02  1.7425126163761028e-09  -8.9899797201009504e-02  -4.5113153898899700e-08
8.6000000000007105e+01  1.2592643984462045e-02  -2.5231227122126136e-09  -5.4112208206354975e-03  -3.9282600807193785e-09  -1.0654631196469049e-02  -2.0431212645184130e-09  8.6868048096017586e-02  4.3399930859458751e-08
8.7000000000007603e+01  -5.1658173791046310e-03  5.4930621337115836e-09  -3.8483635457844174e-02  -8.6283444489762922e-11  -3.0060495641620659e-02  -4.3177024385611271e-08  -2.5405955427193053e-02  -8.8271303312148844e-08
8.8000000000008100e+01  -2.0156922319032003e-02  6.8177558507732461e-09  -3.2815998901919725e-02  1.1403443621877513e-08  5.6429387941762166e-02  6.1101661931854960e-08  1.4764281578726349e-01  1.3634361364198871e-07
8.9000000000008598e+01  -2.2949926823283232e-02  -8.0541899055846535e-09  -2.2759431644182895e-02  -2.4237719815090324e-08  6.7928353674215930e-02  -7.7861050796465591e-08  -5.0227609381865386e-02  -1.3789743515361800e-07
9.0000000000009095e+01  3.0584863547619801e-02  5.7163244333879350e-09  3.7917181444738754e-02  3.5587740086866747e-08  -6.8952161676878149e-02  1.6233094427990430e-08  -1.2626554287382974e-01  5.2167906624861655e-08
9.1000000000009607e+01  1.3206296365807672e-02  -6.8710044864037437e-09  -7.9136287366678229e-02  -2.7452783696188749e-08  -1.6446767870904849e-01  -5.0387394533879136e-08  -1.7207537300144826e-01  3.8870783307197844e-08
9.2000000000010203e+01  -6.4515901709662829e-02  1.0778625450371478e-08  -1.0064574014278942e-02  6.1084595537143674e-08  7.4857026073734026e-02  1.0102136711358169e-07  9.2371643943502668e-02  7.9084516654414228e-08
9.3000000000010701e+01  2.2516451367656679e-02  -3.9501377936649478e-09  -5.0512825477690732e-02  -1.7354547679569038e-09  -1.7711532199249996e-01  -1.0494804336506902e-07  1.6315557626476498e-01  -4.0617431612305528e-07
9.4000000000011198e+01  -4.0942079653750865e-02  -1.3426500226172770e-08  -1.0186072810809486e-01  -1.0354452388279360e-07  2.8108571939054905e-01  7.6656370479050032e-08  -2.3203798542773160e-01  3.6099316100114231e-07
9.5000000000011696e+01  -5.0897940732881550e-02  2.8248491264383372e-08  -1.4145315110058931e-01  -2.4633778542083374e-08  -1.0218416494825110e-01  1.2832474799326322e-07  -6.2812767928262347e-02  -1.2696773127763173e-07
9.6000000000012193e+01  5.9684627660552693e-02  -9.6908121292676140e-09  1.4594357781270886e-01  4.2765914683872861e-08  -2.0378047205112931e-01  -1.5339700238698904e-07  1.1547152577406022e-01  -8.3104596670686027e-08
9.7000000000012705e+01  -3.0454868273922353e-02  -1.2511483620241282e-09  5.0759837379440918e-02  1.3629258462387371e-07  2.6246784329733019e-01  4.0105857547099652e-08  -3.6500846093474731e-01  6.6717130280569310e-08
9.8000000000013202e+01  -7.4127966829599018e-02  -3.0542359635322980e-09  -6.1879371166917135e-02  1.2928562539777051e-07  3.5707981671785671e-01  -1.0378916899653114e-07  -8.7085230807202388e-02  1.2480760897562665e-08
9.9000000000013699e+01  -4.7860905021522765e-02  7.1939540120054182e-09  7.3471676738682573e-02  -1.4629619285086697e-07  2.4508229388071492e-01  1.4204044501268151e-07  -2.1069118316826996e-01  -1.3240037174152945e-07
1.0000000000001400e+02  7.0799741110558742e-02  6.5721456122863793e-09  1.5501465750609475e-01  -2.6400800337827036e-07  -8.6059213911997154e-02  2.1594524465434241e-07  -2.1535837935867769e-01  3.3004909047039573e-07
