time  net_outward_flux  psi4_boundary_amp
6.3999999999995801e+01  1.1737686599970539e-04  3.5547428084143013e-04
6.4999999999996305e+01  3.0830333375205042e-04  3.6803881283535014e-04
6.5999999999996902e+01  5.6598092626757653e-04  3.6970336210246453e-04
6.6999999999997399e+01  8.7110728967680997e-04  3.6159358049649148e-04
6.7999999999997897e+01  1.2009647705139618e-03  3.4465218215243737e-04
6.8999999999998394e+01  1.5366705745293763e-03  3.2029392737611972e-04
6.9999999999998906e+01  1.8574264939990952e-03  2.8953512385912928e-04
7.0999999999999403e+01  2.1390486659195779e-03  2.5354426960369725e-04
7.1999999999999901e+01  2.3620006147686695e-03  2.1340896279473071e-04
7.3000000000000398e+01  2.5104541469575586e-03  1.6970067159775915e-04
7.4000000000000995e+01  2.5739238103506977e-03  1.2404852636514031e-04
7.5000000000001506e+01  2.5485512447175861e-03  7.6699705111083798e-05
7.6000000000002004e+01  2.4381459053292340e-03  3.0820902746992224e-05
7.7000000000002501e+01  2.2552795221076160e-03  2.3918773543170087e-05
7.8000000000002998e+01  2.0169587745322891e-03  6.6804873538670265e-05
7.9000000000003496e+01  1.7399315497071356e-03  1.0824938485762292e-04
8.0000000000003993e+01  1.4427907029322330e-03  1.4632246216559955e-04
8.1000000000004505e+01  1.1464409675288072e-03  1.7921934635320959e-04
8.2000000000005002e+01  8.6864837603389756e-04  2.0680571008415750e-04
8.3000000000005599e+01  6.2166371600027377e-04  2.2801058343583505e-04
8.4000000000006096e+01  4.1446450196584651e-04  2.4346566295471654e-04
8.5000000000006594e+01  2.5050111086842781e-04  2.5305711452113048e-04
8.6000000000007105e+01  1.3039219620604632e-04  2.5655050218857423e-04
8.7000000000007603e+01  5.3805771642331274e-05  2.5411128500153128e-04
8.8000000000008100e+01  1.8258155343795329e-05  2.4623472597456834e-04
8.9000000000008598e+01  1.8592005486807339e-05  2.3280559800008515e-04
9.0000000000009095e+01  4.9351256258680226e-05  2.1416966221853362e-04
9.1000000000009607e+01  1.0366749789665372e-04  1.8949958134731050e-04
9.2000000000010203e+01  1.7439681745694415e-04  1.6035884541369707e-04
9.3000000000010701e+01  2.5438214073176819e-04  1.2631510596823001e-04
9.4000000000011198e+01  3.3669713801554670e-04  8.9512633093990799e-05
9.5000000000011696e+01  4.1455682643696428e-04  5.2091022626437622e-05
9.6000000000012193e+01  4.8268656152160674e-04  2.2436244560497843e-05
9.7000000000012705e+01  5.3643867713795462e-04  3.5160806457902271e-05
9.8000000000013202e+01  5.7236239838418098e-04  7.3830644539315491e-05
9.9000000000013699e+01  5.8821137957994164e-04  9.9791266838030886e-05
