# time  x_neck  R_neck  R_neck_flat  h22_neck  alpha_neck  rate_neck  M_MS_neck  phi_neck  x_hl  R_hl  alpha_hl  M_hl  x_hk  R_hk  alpha_hk  M_hk
1.7200000000e+02  3.0250000000e+01  1.3819668582e+01  1.0480261583e+01  1.7130210692e+00  1.4724258480e-02  6.8341754353e-02  1.3044208629e+01  -7.3192428247e-01  2.9453065873e+01  1.3879250340e+01  1.4285924893e-02  6.9318003358e+00  4.5419754336e+01  5.9850783462e+01  3.5671562145e-02  2.9926498558e+01
1.7400000000e+02  3.0750000000e+01  1.3849075056e+01  1.0487061606e+01  1.7275261203e+00  1.4824066238e-02  7.8073925485e-02  1.4972453389e+01  -7.2704184689e-01  2.9801774765e+01  1.3904660256e+01  1.4345432143e-02  6.9490140349e+00  4.5886137337e+01  6.0496350005e+01  3.5340499468e-02  3.0252096449e+01
1.7600000000e+02  3.1250000000e+01  1.3883458467e+01  1.0484206025e+01  1.7421360207e+00  1.4908896176e-02  8.9602035221e-02  1.7222458748e+01  -7.2182232467e-01  3.0128860186e+01  1.3934793494e+01  1.4386373752e-02  6.9621118043e+00  4.6319052715e+01  6.1089034149e+01  3.4898916473e-02  3.0546674406e+01
1.7800000000e+02  3.1250000000e+01  1.3909583779e+01  1.0487625619e+01  1.7326147673e+00  1.4824239564e-02  6.7117748712e-02  1.2995111771e+01  -7.3357516196e-01  3.0452510691e+01  1.3964910307e+01  1.4424734772e-02  6.9749815467e+00  4.6761200059e+01  6.1695521858e+01  3.4514028359e-02  3.0850772564e+01
1.8000000000e+02  3.1750000000e+01  1.3938957569e+01  1.0495554211e+01  1.7473458252e+00  1.4912528904e-02  7.7033806142e-02  1.4941481557e+01  -7.2868192239e-01  3.0797212770e+01  1.3990082436e+01  1.4477721891e-02  6.9921095284e+00  4.7208646842e+01  6.2317116957e+01  3.4163249447e-02  3.1161523876e+01
1.8200000000e+02  3.1750000000e+01  1.3972899243e+01  1.0492003085e+01  1.7379675129e+00  1.4817946348e-02  5.8111366483e-02  1.1397641494e+01  -7.3937636138e-01  3.1117771101e+01  1.4020286200e+01  1.4509506739e-02  7.0047739498e+00  4.7618363841e+01  6.2867325259e+01  3.3689020724e-02  3.1435179110e+01
1.8400000000e+02  3.2250000000e+01  1.3998103847e+01  1.0494784495e+01  1.7528008608e+00  1.4907264045e-02  6.6731787306e-02  1.3097463484e+01  -7.3476828789e-01  3.1438514246e+01  1.4049723738e+01  1.4541081817e-02  7.0178355271e+00  4.8097641432e+01  6.3554872828e+01  3.3472037664e-02  3.1780732917e+01
1.8600000000e+02  3.2750000000e+01  1.4027788494e+01  1.0502819930e+01  1.7677162445e+00  1.4980451636e-02  7.6925203502e-02  1.5080146849e+01  -7.2984824482e-01  3.1781320175e+01  1.4074305396e+01  1.4586337900e-02  7.0351966298e+00  4.8501808032e+01  6.4105704817e+01  3.3001716549e-02  3.2052876829e+01
1.8800000000e+02  3.2750000000e+01  1.4059656033e+01  1.0499076072e+01  1.7584731996e+00  1.4898576339e-02  5.8167024145e-02  1.1588354436e+01  -7.4020269693e-01  3.2092545022e+01  1.4105174031e+01  1.4608434698e-02  7.0468202627e+00  4.8999836672e+01  6.4832130667e+01  3.2865399752e-02  3.2419408380e+01
1.9000000000e+02  3.3250000000e+01  1.4085433108e+01  1.0501777811e+01  1.7734863913e+00  1.4987889510e-02  6.7127209981e-02  1.3338655575e+01  -7.3555730122e-01  3.2412141462e+01  1.4133620023e+01  1.4644785197e-02  7.0603908318e+00  4.9425357500e+01  6.5429691341e+01  3.2486296772e-02  3.2715955121e+01
1.9200000000e+02  3.3750000000e+01  1.4115768558e+01  1.0509182077e+01  1.7885568424e+00  1.5059908039e-02  7.7736738015e-02  1.5384535044e+01  -7.3058669992e-01  3.2754595810e+01  1.4157357359e+01  1.4700080146e-02  7.0783781853e+00  4.9910375183e+01  6.6137608339e+01  3.2315782259e-02  3.3071840040e+01
1.9400000000e+02  3.3750000000e+01  1.4145231511e+01  1.0505994875e+01  1.7793832848e+00  1.4980698387e-02  5.8925583031e-02  1.1901423489e+01  -7.4066683537e-01  3.3053888616e+01  1.4189336644e+01  1.4711349141e-02  7.0884554885e+00  5.0363693463e+01  6.6796699668e+01  3.2047043978e-02  3.3400118120e+01
1.9600000000e+02  3.4250000000e+01  1.4171842996e+01  1.0509378779e+01  1.7944780614e+00  1.5026740699e-02  6.8307391779e-02  1.3718127156e+01  -7.3596362836e-01  3.3374681260e+01  1.4216463162e+01  1.4720642934e-02  7.1029150831e+00  5.0847478522e+01  6.7510911545e+01  3.1888979070e-02  3.3758062399e+01
1.9800000000e+02  3.4750000000e+01  1.4203057944e+01  1.0515340409e+01  1.8096442343e+00  1.5077350600e-02  7.9432722700e-02  1.5846131985e+01  -7.3093022422e-01  3.3703690332e+01  1.4241901888e+01  1.4738733188e-02  7.1189605577e+00  5.1313581840e+01  6.8199303782e+01  3.1682935614e-02  3.4101677616e+01
2.0000000000e+02  3.4750000000e+01  1.4229743731e+01  1.0512803741e+01  1.8005693752e+00  1.5031226395e-02  6.0360453881e-02  1.2330873487e+01  -7.4080530050e-01  3.4003465203e+01  1.4272458780e+01  1.4759606885e-02  7.1297270516e+00  5.1805450586e+01  6.8939168860e+01  3.1567759603e-02  3.4471748655e+01
2.0200000000e+02  3.5250000000e+01  1.4257385712e+01  1.0516894732e+01  1.8158599623e+00  1.5114187287e-02  7.0209046077e-02  1.4221662219e+01  -7.3602184368e-01  3.4328109614e+01  1.4297946590e+01  1.4806779544e-02  7.1451315508e+00  5.2274597024e+01  6.9636327721e+01  3.1392156531e-02  3.4820136848e+01
2.0400000000e+02  3.5250000000e+01  1.4288837324e+01  1.0520429751e+01  1.8069343460e+00  1.5093214140e-02  5.3528846812e-02  1.1157011082e+01  -7.4516413529e-01  3.4641515236e+01  1.4325442414e+01  1.4862245426e-02  7.1586147476e+00  5.2780075414e+01  7.0412961311e+01  3.1332956793e-02  3.5208264711e+01
2.0600000000e+02  3.5750000000e+01  1.4313472993e+01  1.0519272226e+01  1.8223586316e+00  1.5258070843e-02  6.2392260300e-02  1.2862844777e+01  -7.4058005056e-01  3.4945981121e+01  1.4353978998e+01  1.4959653005e-02  7.1705183980e+00  5.3243435700e+01  7.1100434879e+01  3.1157478992e-02  3.5551954492e+01
2.0800000000e+02  3.6250000000e+01  1.4342627725e+01  1.0526696307e+01  1.8375999779e+00  1.5352983696e-02  7.3068263690e-02  1.4887235610e+01  -7.3563020104e-01  3.5274280258e+01  1.4377844412e+01  1.5073451369e-02  7.1875379021e+00  5.3760009182e+01  7.1907818530e+01  3.1140862632e-02  3.5955364391e+01
2.1000000000e+02  3.6250000000e+01  1.4370730266e+01  1.0529109030e+01  1.8282822313e+00  1.5231238442e-02  5.5989407898e-02  1.1769869245e+01  -7.4462938072e-01  3.5565565511e+01  1.4407832327e+01  1.5056377588e-02  7.1985822322e+00  5.4211309934e+01  7.2572472789e+01  3.0944735678e-02  3.6287611519e+01
2.1200000000e+02  3.6750000000e+01  1.4396870495e+01  1.0531532422e+01  1.8431907730e+00  1.5150516283e-02  6.5801912667e-02  1.3639041366e+01  -7.3989394423e-01  3.5871629220e+01  1.4434430474e+01  1.4955480820e-02  7.2126433125e+00  5.4729930505e+01  7.3390901161e+01  3.0941394145e-02  3.6696612282e+01
2.1400000000e+02  3.7250000000e+01  1.4427559096e+01  1.0539721715e+01  1.8585368324e+00  1.5191184136e-02  7.7307441820e-02  1.5806755322e+01  -7.3482369826e-01  3.6184968662e+01  1.4459787805e+01  1.4909326516e-02  7.2274236055e+00  4.8135848764e+01  5.4549679427e+01  1.2969633977e-02  2.8045301239e+01
2.1600000000e+02  3.7250000000e+01  1.4451838479e+01  1.0534963466e+01  1.8500402993e+00  1.5260431815e-02  5.9202868704e-02  1.2508682630e+01  -7.4380871866e-01  3.6477758984e+01  1.4488546372e+01  1.4994032782e-02  7.2378733507e+00  4.8178660862e+01  5.3645767283e+01  1.2138777009e-02  2.5468786991e+01
2.1800000000e+02  3.7750000000e+01  1.4479910984e+01  1.0535807569e+01  1.8663671434e+00  1.5457849628e-02  6.9620811002e-02  1.4469623138e+01  -7.3893497979e-01  3.6797367564e+01  1.4512594364e+01  1.5163904078e-02  7.2537492806e+00  4.8317627929e+01  5.3088860670e+01  1.1540256751e-02  1.7804312468e+01
2.2000000000e+02  3.7750000000e+01  1.4507932277e+01  1.0539270697e+01  1.8581890732e+00  1.5486702538e-02  5.3442835874e-02  1.1542051882e+01  -7.4734566024e-01  3.7091382386e+01  1.4540889797e+01  1.5285290378e-02  7.2653446641e+00  4.8480854618e+01  5.2568515973e+01  1.1032916177e-02  2.3318537723e+01
2.2200000000e+02  3.8250000000e+01  1.4533917865e+01  1.0535975382e+01  1.8744844954e+00  1.5533514627e-02  6.3429792036e-02  1.3422851740e+01  -7.4265429826e-01  3.7390794113e+01  1.4567680128e+01  1.5334471543e-02  7.2783896907e+00  4.8983117440e+01  5.3531915889e+01  1.1219710167e-02  2.1333375941e+01
2.2400000000e+02  3.8750000000e+01  1.4564738920e+01  1.0541193591e+01  1.8904534501e+00  1.5471055839e-02  7.4954122818e-02  1.5587777645e+01  -7.3761971427e-01  3.7701058402e+01  1.4592502640e+01  1.5302698855e-02  7.2943268134e+00  4.1329580278e+01  1.5928439166e+01  1.3441783368e-02  1.3367945806e+00
