# time  R_areal_min  r_at_R_areal_min
8.6000000000002203e+01  5.5316827417565122e+00  5.3308506591349936e-01
8.8000000000002601e+01  5.3563828086551180e+00  5.3308506591349936e-01
9.0000000000002899e+01  5.1935342743985116e+00  5.3308506591349936e-01
9.2000000000003197e+01  5.0418449287862366e+00  5.3308506591349936e-01
9.4000000000003496e+01  4.9001923709019328e+00  5.3308506591349936e-01
9.6000000000003794e+01  4.7675974228588718e+00  5.3308506591349936e-01
9.8000000000004107e+01  4.6432024102408462e+00  5.3308506591349936e-01
1.0000000000000399e+02  4.5262525200197725e+00  5.3308506591349936e-01
1.0200000000000500e+02  4.4160819855643592e+00  5.3308506591349936e-01
1.0400000000000500e+02  4.3121026419476642e+00  5.3308506591349936e-01
1.0600000000000500e+02  4.2137913602457653e+00  5.3308506591349936e-01
1.0800000000000600e+02  4.1206820111447584e+00  5.3308506591349936e-01
1.1000000000000600e+02  4.0323579842466408e+00  5.3308506591349936e-01
1.1200000000000600e+02  3.9484445203366403e+00  5.3308506591349936e-01
1.1400000000000701e+02  3.8686071383053942e+00  5.3308506591349936e-01
1.1600000000000701e+02  3.7925435846485049e+00  5.3308506591349936e-01
1.1800000000000701e+02  3.7199798399113750e+00  5.3308506591349936e-01
1.2000000000000800e+02  3.6506677922958013e+00  5.3308506591349936e-01
1.2200000000000800e+02  3.5843820870698035e+00  5.3308506591349936e-01
1.2400000000000800e+02  3.5209176058559546e+00  5.3308506591349936e-01
1.2600000000000800e+02  3.4600872726818088e+00  5.3308506591349936e-01
1.2800000000000901e+02  3.4017201737185045e+00  5.3308506591349936e-01
1.3000000000000799e+02  3.3456599140456831e+00  5.3308506591349936e-01
1.3200000000000799e+02  3.2917631504551239e+00  5.3308506591349936e-01
1.3400000000000799e+02  3.2398982833197874e+00  5.3308506591349936e-01
1.3600000000000699e+02  3.1899442960860105e+00  5.3308506591349936e-01
1.3800000000000699e+02  3.1417897268228319e+00  5.3308506591349936e-01
1.4000000000000600e+02  3.0953317569366376e+00  5.3308506591349936e-01
1.4200000000000600e+02  3.0504754019624838e+00  5.3308506591349936e-01
1.4400000000000600e+02  3.0071327932214418e+00  5.3308506591349936e-01
1.4600000000000500e+02  2.9652225391828146e+00  5.3308506591349936e-01
1.4800000000000500e+02  2.9246691519270684e+00  5.3308506591349936e-01
1.5000000000000401e+02  2.8854025307274682e+00  5.3308506591349936e-01
1.5200000000000401e+02  2.8473574978705720e+00  5.3308506591349936e-01
1.5400000000000401e+02  2.8104733793223877e+00  5.3308506591349936e-01
1.5600000000000301e+02  2.7746936245556646e+00  5.3308506591349936e-01
1.5800000000000301e+02  2.7399654625795797e+00  5.3308506591349936e-01
1.6000000000000199e+02  2.7062395902323648e+00  5.3308506591349936e-01
1.6200000000000199e+02  2.6734698897550784e+00  5.3308506591349936e-01
1.6400000000000199e+02  2.6416131726956911e+00  5.3308506591349936e-01
1.6600000000000099e+02  2.6106289468976542e+00  5.3308506591349936e-01
1.6800000000000099e+02  2.5804792045365827e+00  5.3308506591349936e-01
1.7000000000000000e+02  2.5511282298474671e+00  5.3308506591349936e-01
