# time  Re(R=10)  Im(R=10)  Re(R=14)  Im(R=14)  Re(R=18)  Im(R=18)
4.4999999999999602e+01  4.8255814918040252e-05  -2.6397352509000734e-12  8.1317130606173752e-05  -6.4044999176211717e-12  1.0533873868035426e-04  1.0733908679923831e-11
4.5999999999999403e+01  -8.1100451283442953e-07  1.4532892718926752e-11  -7.5282142822335720e-05  -1.2409486957719419e-11  1.5310605452195899e-04  -3.6730705298026427e-12
4.6999999999999197e+01  -3.3911957734951283e-05  1.1826897668276902e-11  -8.9058848421572973e-05  6.8400337345429097e-12  -2.0513611604722686e-04  2.0373166846339029e-11
4.7999999999998998e+01  -4.4481873169488451e-05  3.2451082006425920e-13  -1.3456095140523597e-05  -9.4746657314435221e-12  -7.5825003462552131e-05  -2.6018987079078978e-11
4.8999999999998799e+01  1.8443618426931382e-05  -1.0523885541344132e-11  1.0936063953834086e-04  -1.8379612708845086e-12  -5.4111166976903859e-05  7.5716042585768210e-11
4.9999999999998600e+01  1.3073174890769880e-04  1.6392992013287780e-12  2.3121322402844285e-04  -2.6528640742572083e-11  -1.9840670078475494e-04  -4.0277347065600530e-11
5.0999999999998401e+01  -1.4555799782984508e-04  5.7878055741008587e-12  1.2888467311042401e-04  -3.5061049700660298e-12  2.8107086905049807e-06  3.0981920866922611e-11
5.1999999999998202e+01  6.6677403144179253e-05  1.5434518837514789e-13  -2.6685800128994387e-04  -1.1311085514695155e-11  -4.1846806136293488e-04  3.3328809463631069e-12
5.2999999999998003e+01  1.0181535294703145e-04  -2.9707504700535229e-12  4.0118377473530866e-06  4.1531696592165683e-12  -4.3844841959537155e-04  -6.2032579951006048e-11
5.3999999999997797e+01  2.4627389690594028e-04  -1.3834724241435673e-11  3.3794865370394489e-04  -8.5299637307301445e-12  3.4338278348379692e-04  -6.0699981561469174e-11
5.4999999999997598e+01  4.5959578645339772e-04  2.2876216467819197e-11  -3.0242581865074766e-04  -1.0858666503756710e-11  -1.0321637027107379e-04  2.2009952883070025e-10
5.5999999999997399e+01  1.5502651340006782e-04  1.1029640402527346e-11  4.0622449947124974e-04  1.2661735072317558e-10  -1.1638130901360879e-04  -5.8590506667371098e-11
5.6999999999997200e+01  -8.0444053928895181e-05  -3.3788125658248376e-11  1.1180092174831982e-04  -7.3331298554953308e-11  2.5763711873808188e-04  -7.4893106180120810e-11
5.7999999999997002e+01  -2.2586336703557644e-04  -7.9042997256044101e-11  -4.2480852757691612e-04  -4.8244570708181293e-11  6.7976056105188091e-04  -4.2836476686806084e-11
5.8999999999996803e+01  -1.6465116762146915e-04  4.2919118121887558e-11  -4.4612575234122433e-04  9.9212768082919849e-12  1.3383415000704937e-03  1.2514630814186079e-10
5.9999999999996597e+01  2.5156532871223607e-04  4.9941791500198175e-12  -2.1606931081416476e-04  1.8141593821566356e-10  -8.0222325560217560e-06  -1.4997883828281662e-10
6.0999999999996398e+01  -1.9812839629300304e-05  4.4175143565569483e-11  -6.6729436081398104e-04  -2.3383699620258417e-10  1.1046919773225656e-03  3.8979668533358339e-10
6.1999999999996199e+01  4.6932424927419267e-04  1.3869715869833092e-11  -1.8807645121153493e-04  -7.2428278278109525e-11  5.9813166059362929e-04  -1.9818181026269874e-10
6.2999999999996000e+01  -2.3617244391045331e-04  -3.9485018675783080e-11  -6.2993047806193347e-04  -1.7465721604473945e-10  1.3732322156923856e-04  2.4644285464875577e-10
6.3999999999995801e+01  -6.7261821754282343e-04  5.0436652759585211e-11  7.5682361050720143e-04  -2.0946181042664840e-11  1.7337011899824092e-03  4.9974089232755204e-10
6.4999999999996305e+01  6.6846363728471702e-05  -1.0552476152002955e-10  7.9676541849631806e-04  9.5694276047248112e-11  4.9840737234583968e-03  -1.4510707219508177e-09
6.5999999999996902e+01  9.3061102108516944e-04  1.7502930733951169e-11  2.2772090015294830e-04  -1.8186041513515172e-10  2.4293138036871626e-03  1.9117207131366136e-09
6.6999999999997399e+01  1.0820308287232891e-03  -7.1183328883811894e-11  1.1918414496421247e-03  2.1201910559736575e-10  -3.1485846772613168e-03  -1.6912125548987083e-09
6.7999999999997897e+01  -1.4345917360403420e-03  1.7884575245985063e-10  6.7210247141609165e-04  -2.5740355368890030e-10  -2.4877419188169990e-03  2.4012080916916437e-11
6.8999999999998394e+01  -2.0361367498716726e-04  -2.3594395203798850e-10  1.5237246660442167e-03  -6.8626107665952986e-10  4.9613360061960977e-03  1.8929862608269659e-09
6.9999999999998906e+01  -7.1580663769858592e-04  9.1768184623540244e-11  2.8860662839588114e-03  4.8645329221972024e-10  2.7290203013918320e-03  -1.4293266904563365e-09
7.0999999999999403e+01  -3.3200021596266685e-03  -7.5795894360958000e-11  5.2320501307693314e-03  1.0130561658488412e-09  9.2223868834512724e-04  -9.9199454240267426e-10
7.1999999999999901e+01  3.9897783058792102e-03  1.3041116635250346e-10  3.9381993361704030e-03  5.8558952113457972e-10  -1.0881037604864798e-03  -3.6463549186754890e-11
7.3000000000000398e+01  3.1542303453046924e-03  5.3656120815516624e-10  6.9577219217803396e-03  -1.3815644561095987e-09  -4.4289084020187469e-03  2.5440370443495347e-10
7.4000000000000995e+01  -2.0546478787992302e-03  -5.2298691882532867e-10  6.2801207815210019e-04  -3.2732748737465336e-10  -2.8850994739643794e-03  2.3034951405122176e-09
7.5000000000001506e+01  -7.2749100750978601e-04  -8.7848584158996853e-11  -3.0198727030118547e-03  1.2822679443277443e-09  7.9603167765306803e-03  -3.2858205181387915e-09
7.6000000000002004e+01  3.7124096987485350e-03  4.0751609039681592e-10  7.3295526040647440e-03  2.0312303889440172e-09  -7.7300446959997007e-03  1.3329876049854560e-09
7.7000000000002501e+01  1.1437992946745238e-04  -1.1028699503802921e-09  7.4057577671329984e-03  1.1930918329947679e-10  -1.2823594296677466e-02  5.1233785735175982e-09
7.8000000000002998e+01  1.2478766118504021e-04  8.0016529155606947e-11  -1.1764891575440993e-03  -2.1435666083054029e-10  -1.1351134074356109e-02  -1.3190154229162862e-09
7.9000000000003496e+01  -7.9613022670919544e-03  3.2596737402400613e-11  -1.4240226060330489e-03  -5.5311220671961999e-09  2.3441832689856728e-03  1.6091635441742064e-09
8.0000000000003993e+01  4.9455438831107045e-03  -4.7253573923470465e-10  1.1115240319405086e-02  5.6288003953020901e-09  1.0407795400427643e-02  -1.6429746853916441e-08
8.1000000000004505e+01  1.2786845564793973e-03  7.7693462293304972e-10  -1.3263973987683883e-03  8.2230604952089051e-09  -5.1648714424230857e-03  2.0785175478776040e-08
8.2000000000005002e+01  -7.8392928799895581e-03  -1.2333414049772663e-09  -1.4003842933818501e-02  -8.8955868419718289e-09  7.9511609342180836e-03  -2.8058140648937329e-08
8.3000000000005599e+01  8.2105895276594410e-04  1.5882734751078063e-09  8.5225392771787860e-03  3.1759025714154837e-09  -1.7875873007747775e-02  2.0878003915943334e-08
8.4000000000006096e+01  -7.2390926456699090e-03  3.2941622636511097e-10  -1.4473779133295462e-03  2.4270492285916848e-09  -7.0482304070440524e-02  -8.4704900252732395e-09
8.5000000000006594e+01  1.4639184951929896e-02  -2.6379391460677255e-09  -2.9229867372888212e-04  1.1440371325516056e-10  -1.5133640849416929e-03  1.5381589484835640e-08
8.6000000000007105e+01  -5.4524212584153037e-03  -1.4773566077659671e-09  -1.7493365936998583e-02  8.1788573533635579e-09  -1.1394604132234974e-02  7.9786460568270247e-10
8.7000000000007603e+01  1.9481123298693968e-02  4.9584712270130604e-09  -1.4972236204458521e-02  -1.6975784425853692e-08  -3.8808660348401081e-02  -5.0408644142107555e-08
8.8000000000008100e+01  8.8696745127848009e-04  7.1205496526323278e-09  -3.6393093864110798e-02  1.2279130462070206e-08  2.1546428148527610e-02  5.5449645814883725e-08
8.9000000000008598e+01  -1.9816853851462271e-02  -1.0211806958848255e-08  -3.3897500453109415e-02  -1.4972203835845262e-08  7.8491692834283894e-02  -7.0351932866466330e-08
9.0000000000009095e+01  -1.3911357942548329e-02  8.7629949787660939e-09  4.4071308839697093e-02  3.2408604931095225e-08  -3.4934688087199267e-02  3.6704213092703455e-08
9.1000000000009607e+01  5.1745543261169633e-02  -6.6543065284387884e-09  -9.5674103890900516e-02  -3.9476624657023250e-08  -2.1525572481819852e-01  -8.3606881345123793e-08
9.2000000000010203e+01  -5.7774691145225446e-02  4.4231262927029748e-09  -5.6845481763549741e-02  5.0555142546110203e-08  1.8170638087099046e-02  8.4354934905869327e-08
9.3000000000010701e+01  1.7904378551981411e-02  -5.0142248072561606e-09  -9.5018981252763243e-02  1.7720791808993955e-08  -1.5897998389806361e-01  -5.2194743950124685e-08
9.4000000000011198e+01  -1.5276792731223020e-02  -9.2777993295801997e-09  -1.1282121521104495e-01  -1.5493176886281659e-07  2.9139927256579456e-01  6.4910727916114050e-08
9.5000000000011696e+01  -6.4489336240347639e-02  1.9812997675068989e-08  -1.5450219743777086e-01  5.7840322675216599e-08  -1.9023349962791682e-02  1.3768569743122412e-07
9.6000000000012193e+01  7.7042858593522348e-02  8.2690212411195251e-10  1.7762490418119406e-01  -3.2244003197301864e-08  -2.2461924266168889e-01  -1.3700427200390901e-07
9.7000000000012705e+01  -5.1039439639896524e-02  3.0236848276381754e-09  3.8017968441684938e-02  1.5128155463487103e-07  2.6469168179634900e-01  -6.9001016377197300e-08
9.8000000000013202e+01  -2.8433336110512578e-02  -2.7571845213995036e-08  -1.5221392678654697e-01  1.0284203439242772e-07  4.6727534469957371e-01  1.1696849879785313e-08
9.9000000000013699e+01  -8.5313859254346730e-02  1.4285790271348201e-08  7.1163249676289925e-02  -8.2895853059747771e-08  3.8828508022756286e-01  6.4885691580072601e-08
1.0000000000001400e+02  3.3107381744214945e-02  2.2811030972246871e-08  2.5804191918248068e-02  -7.6427112088105729e-08  -2.6559426539523157e-01  1.0352978717887101e-07
1.0100000000001501e+02  1.5482275611435881e-01  -5.1579430847828933e-08  2.1203532712552783e-01  -3.3094664620271583e-07  1.2967534894211144e-01  2.3708444720133871e-07
1.0200000000001501e+02  1.5030658000136804e-01  3.6085128536650227e-08  -3.1985367490378069e-01  2.4438826918129835e-07  -2.6334286638996013e-01  -5.6344606982802184e-07
1.0300000000001600e+02  -1.1726512960307769e-01  -5.9418913970956527e-08  -3.6127237748008967e-01  2.5898339323373004e-07  3.6543068566816311e-01  4.1848896752550834e-07
1.0400000000001600e+02  2.2907151853775959e-01  8.2577652788656808e-08  -4.4040152982038239e-01  3.7599269921080635e-07  4.2161775850866567e-01  -1.2138963833776975e-07
1.0500000000001700e+02  -1.4507598070815791e-01  -6.8466381140399289e-08  -2.4035497578587253e-01  -3.7024873722696708e-07  -9.2435927151849839e-01  4.9079701066939360e-07
1.0600000000001700e+02  1.6118878993297014e-01  1.1742619731940594e-08  -6.2198847910476363e-01  -1.3635981565209444e-06  -1.8169998493661246e+00  -1.5646869226219884e-06
