# time  Re_m-2(R=10)  Im_m-2(R=10)  Re_m-1(R=10)  Im_m-1(R=10)  Re_m0(R=10)  Im_m0(R=10)  Re_m1(R=10)  Im_m1(R=10)  Re_m2(R=10)  Im_m2(R=10)  Re_m-2(R=14)  Im_m-2(R=14)  Re_m-1(R=14)  Im_m-1(R=14)  Re_m0(R=14)  Im_m0(R=14)  Re_m1(R=14)  Im_m1(R=14)  Re_m2(R=14)  Im_m2(R=14)  Re_m-2(R=18)  Im_m-2(R=18)  Re_m-1(R=18)  Im_m-1(R=18)  Re_m0(R=18)  Im_m0(R=18)  Re_m1(R=18)  Im_m1(R=18)  Re_m2(R=18)  Im_m2(R=18)
1.4499999999999700e+01  1.7859470313441185e-02  8.4852030169643521e-08  5.5221081705586977e-06  -6.5217383265596500e-06  -1.4544406939572456e-02  -3.1313119089529548e-14  5.5249590179384197e-06  6.5222463701509517e-06  1.7864555008653797e-02  -8.4852043400032586e-08  9.0139300240677737e-03  1.7304035943693514e-06  2.4938497058378858e-06  -3.7513886246786424e-06  -7.3363583406557391e-03  1.6168914283120389e-14  2.4938496513174743e-06  3.7513887773408143e-06  9.0139300242072819e-03  -1.7304035479938232e-06  2.6035271075724778e-03  7.1370505858177523e-07  3.6006206892843646e-07  -1.0570424639780397e-06  -2.1310659737728121e-03  -2.3434837787674270e-15  3.6006210298710420e-07  1.0570424647174874e-06  2.6035271075719223e-03  -7.1370505687029413e-07
1.4599999999999699e+01  1.7848019514253965e-02  8.4866585441039936e-08  5.5239299138862253e-06  -6.5185142953203972e-06  -1.4537694762017080e-02  -8.4733381931286548e-14  5.5269533063151678e-06  6.5183989378572134e-06  1.7853650782845929e-02  -8.4866576392723900e-08  9.1813360416691282e-03  1.7639031015210187e-06  2.5422115285955017e-06  -3.8169876739028970e-06  -7.4721583766361316e-03  4.0334182621348609e-14  2.5422114715305223e-06  3.8169876973193956e-06  9.1813360417066069e-03  -1.7639031156180218e-06  2.6803871131451358e-03  7.3450186762282461e-07  3.7066005442148592e-07  -1.0884289001485993e-06  -2.1934059683808797e-03  4.4111452781279224e-14  3.7066004390080584e-07  1.0884289298575720e-06  2.6803871130938002e-03  -7.3450190357095668e-07
1.4699999999999701e+01  1.7824592538473814e-02  8.4886465026111487e-08  5.5228280801575711e-06  -6.5115599941531418e-06  -1.4524647018118479e-02  1.4148375990060640e-14  5.5258536925783203e-06  6.5109784496157956e-06  1.7830522836942538e-02  -8.4886518166099518e-08  9.3479869646098911e-03  1.7975378239812176e-06  2.5905100189920854e-06  -3.8820598946867134e-06  -7.6079142544200236e-03  -3.1887974317802804e-14  2.5905099867752851e-06  3.8820599830791940e-06  9.3479869645049715e-03  -1.7975377947290311e-06  2.7587874228146001e-03  7.5592916299084691e-07  3.8141447345518370e-07  -1.1205170526596914e-06  -2.2569580034932030e-03  -2.6030024950605499e-14  3.8141448130095946e-07  1.1205170400244093e-06  2.7587874228163201e-03  -7.5592909627984901e-07
1.4799999999999701e+01  1.7789493983175565e-02  8.4802217392957709e-08  5.5191052499949784e-06  -6.4958774480520784e-06  -1.4503228914671963e-02  5.5324945463833852e-14  5.5222291749490136e-06  6.4960491325603869e-06  1.7795444036476343e-02  -8.4802235956773821e-08  9.5135817834585204e-03  1.8311235785274723e-06  2.6386495307087984e-06  -3.9464398971659907e-06  -7.7436109074323287e-03  1.1565510760996908e-14  2.6386495569750326e-06  3.9464398482515380e-06  9.5135817833945299e-03  -1.8311235320939473e-06  2.8386252992039750e-03  7.7790214974089936e-07  3.9232884907373896e-07  -1.1531675535788072e-06  -2.3220739782322903e-03  -9.5071969491592101e-15  3.9232882457235291e-07  1.1531675687196114e-06  2.8386252992137926e-03  -7.7790216283393094e-07
1.4899999999999700e+01  1.7743234876164374e-02  8.4625019132252781e-08  5.5121824500807011e-06  -6.4742716267503562e-06  -1.4473486848142376e-02  -4.3719970524616970e-14  5.5156043994404789e-06  6.4746842097466094e-06  1.7749504281519307e-02  -8.4625051339647246e-08  9.6797001623292155e-03  1.8645327466430296e-06  2.6866176555101138e-06  -4.4339411110636805e-06  -7.8748950819261497e-03  4.0302226106421734e-14  2.6866176325469781e-06  4.4339411113443534e-06  9.6797001623895925e-03  -1.8645327652511966e-06  2.9216767653952149e-03  8.0016962830911316e-07  4.0346989353911078e-07  -1.1863124840073571e-06  -2.3831261462726946e-03  2.4724016560030056e-14  4.0346988348314272e-07  1.1863124646048737e-06  2.9216767653933102e-03  -8.0016966782340460e-07
1.4999999999999700e+01  1.7686286241060570e-02  8.4455488843392076e-08  5.5009403043725181e-06  -6.4479343460840176e-06  -1.4435015092320768e-02  -3.5430232843942218e-14  5.5044579008062540e-06  6.4480839443730404e-06  1.7692854044232070e-02  -8.4455479861276628e-08  9.8436964877299873e-03  1.8979066665728790e-06  2.7344624142230264e-06  -4.5014694228781117e-06  -8.0080919883745490e-03  -6.3452283423355669e-14  2.7344623428881376e-06  4.5014694804072495e-06  9.8436964877330248e-03  -1.8979066423196067e-06  3.0037177217826245e-03  8.2263055461507747e-07  4.1489235159252060e-07  -1.2200529449852272e-06  -2.4519165865690812e-03  3.9988951321604311e-14  4.1489237197162837e-07  1.2200529252095644e-06  3.0037177217661672e-03  -8.2263053798255800e-07
1.5099999999999699e+01  1.7618741338002203e-02  8.4234812761543069e-08  5.4862151073903974e-06  -6.4155639374782983e-06  -1.4387180798799538e-02  7.0209085307696161e-15  5.4896814467430952e-06  6.4160761187178192e-06  1.7625367350104126e-02  -8.4234854645479816e-08  1.0005983736049245e-02  1.9313581543234140e-06  2.7821931678781289e-06  -4.5725239175656521e-06  -8.1402410446065089e-03  1.1959798854001611e-14  2.7821931769230245e-06  4.5725240027496871e-06  1.0005983735982486e-02  -1.9313581426231831e-06  3.0876841228323240e-03  8.4547434242051892e-07  4.2657386828951913e-07  -1.2544696428488619e-06  -2.5220808152367699e-03  1.4822280782878866e-14  4.2657390148285934e-07  1.2544696574882403e-06  3.0876841228282201e-03  -8.4547429993217865e-07
1.5199999999999701e+01  1.7540817994702577e-02  8.3935182907932077e-08  5.4694515887319813e-06  -6.3812297788405568e-06  -1.4330254206008839e-02  -5.6147013802416281e-14  5.4731380396597486e-06  6.3819861984514501e-06  1.7547759260837306e-02  -8.3935153396620666e-08  1.0166498451889371e-02  1.9647601022988541e-06  2.8297549613712592e-06  -4.6377655413921899e-06  -8.2709526401597618e-03  3.9360129169189426e-14  2.8297549140995773e-06  4.6377656674359746e-06  1.0166498451881384e-02  -1.9647600724408843e-06  3.1739432043161012e-03  8.6895090448703151e-07  4.3844711124863748e-07  -1.2895043918249367e-06  -2.5927402316052953e-03  -1.2575238554211813e-14  4.3844711336036442e-07  1.2895044485159165e-06  3.1739432043472984e-03  -8.6895089436526265e-07
1.5299999999999701e+01  1.7452526533433009e-02  8.3629103992050537e-08  5.4490637324194501e-06  -6.3470983221250901e-06  -1.4263198647322676e-02  -4.0607702378007795e-14  5.4530141561359075e-06  6.3473639636545068e-06  1.7459872735599055e-02  -8.3629122725396574e-08  1.0325456742817606e-02  1.9979648172369252e-06  2.8770317228086850e-06  -4.7066310075791964e-06  -8.4004479313147685e-03  1.3726714770050883e-14  2.8770316503167348e-06  4.7066309502863909e-06  1.0325456742758985e-02  -1.9979647249946743e-06  3.2614781206165276e-03  8.9308210005124448e-07  4.5048673650734211e-07  -1.3250248548797578e-06  -2.6634473937728808e-03  8.0776723944177975e-16  4.5048670546503291e-07  1.3250248695480088e-06  3.2614781206001002e-03  -8.9308212507019503e-07
1.5399999999999700e+01  1.7352982242681572e-02  8.3255378423284898e-08  5.4239347641623129e-06  -6.3085846238879470e-06  -1.4185090929510324e-02  3.1090522040451895e-14  5.4278763713065235e-06  6.3090652403508093e-06  1.7360390224269134e-02  -8.3255366230612440e-08  1.0482531446213235e-02  2.0309134860082106e-06  2.9238893317769427e-06  -4.7730068861742208e-06  -8.5289338356052003e-03  1.6059810324994947e-15  2.9238893055579683e-06  4.7730069644329399e-06  1.0482531446233435e-02  -2.0309135590229559e-06  3.3504839449493978e-03  9.1767427492639165e-07  4.6273639615795844e-07  -1.3609316374428386e-06  -2.7353670520027314e-03  1.5663262427496308e-14  4.6273640153417211e-07  1.3609316082153529e-06  3.3504839449003555e-03  -9.1767426947324913e-07
