time  net_outward_flux  psi4_boundary_amp
7.4500000000001194e+01  1.5779728040275467e-02  3.7224385655449917e-04
7.5000000000001506e+01  1.6695009650272583e-02  3.6141380504353053e-04
7.5500000000001705e+01  1.7654707066052152e-02  3.5081233642124176e-04
7.6000000000002004e+01  1.8659677964241016e-02  3.4042959103628058e-04
7.6500000000002203e+01  1.9710850851099769e-02  3.3024800218944388e-04
7.7000000000002501e+01  2.0809230753026334e-02  3.2027000490691000e-04
7.7500000000002700e+01  2.1955905321151388e-02  3.1051086756988519e-04
7.8000000000002998e+01  2.3152055875983818e-02  3.0099282089921555e-04
7.8500000000003297e+01  2.4398970918481290e-02  2.9174021085178283e-04
7.9000000000003496e+01  2.5698055828747610e-02  2.8276130409379271e-04
7.9500000000003794e+01  2.7050835513868624e-02  2.7405301219918438e-04
8.0000000000003993e+01  2.8458953302995249e-02  2.6560732299814896e-04
8.0500000000004306e+01  2.9924175432381944e-02  2.5741886336279644e-04
8.1000000000004505e+01  3.1448406087279605e-02  2.4949180726498350e-04
8.1500000000004803e+01  3.3033707220089553e-02  2.4183823210556992e-04
8.2000000000005002e+01  3.4682314751989879e-02  2.3447765643770183e-04
8.2500000000005301e+01  3.6396640625395063e-02  2.2742607152335446e-04
8.3000000000005599e+01  3.8179261449645577e-02  2.2069321008562153e-04
8.3500000000005798e+01  4.0032904629171612e-02  2.1428651087357131e-04
8.4000000000006096e+01  4.1960448045479971e-02  2.0821326312149633e-04
8.4500000000006295e+01  4.3964941873819982e-02  2.0248389985995732e-04
8.5000000000006594e+01  4.6049642654711682e-02  1.9711188195675047e-04
8.5500000000006807e+01  4.8218020883142816e-02  1.9211277238239646e-04
8.6000000000007105e+01  5.0473715342760787e-02  1.8750327466674258e-04
8.6500000000007304e+01  5.2820457215186037e-02  1.8329952939274822e-04
8.7000000000007603e+01  5.5262025998192459e-02  1.7951837714112447e-04
8.7500000000007901e+01  5.7802254871094860e-02  1.7617927032993251e-04
8.8000000000008100e+01  6.0445005462988852e-02  1.7330621356939554e-04
8.8500000000008399e+01  6.3194152738346082e-02  1.7092212569881908e-04
8.9000000000008598e+01  6.6053658465394932e-02  1.6905032414632113e-04
8.9500000000008896e+01  6.9027569365115740e-02  1.6771908910039217e-04
9.0000000000009095e+01  7.2119829808267116e-02  1.6695534378590623e-04
9.0500000000009393e+01  7.5334152683077957e-02  1.6677959708555538e-04
