# thinned to dt=0.05 from the every-step stream
#       time           min_lapse             min_chi           max_abs_K         min_lapse_x         min_lapse_y         min_lapse_z             min_phi             max_phi              min_Pi              max_Pi
  18.1000000    1.0000000000e-10    6.0482746649e-06    5.4890674649e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.3472965156e-01   -3.6596019240e-02   -3.0456769032e-04    9.3263957818e-02
  18.1500000    1.0000000000e-10    6.0513554778e-06    6.0883974731e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.3477813231e-01   -3.6594524406e-02   -3.0555776296e-04    9.3680423923e-02
  18.2000000    1.0000000000e-10    6.0545362508e-06    5.5254416563e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.3482663247e-01   -3.6592485732e-02   -3.0654232830e-04    9.4098417525e-02
  18.2500000    1.0000000000e-10    6.0578180015e-06    6.4550528337e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.3487515463e-01   -3.6590122998e-02   -3.0752134188e-04    9.4517999249e-02
  18.3000000    1.0000000000e-10    6.0612017803e-06    7.2439921870e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.3492370140e-01   -3.6587727547e-02   -3.0849475430e-04    9.4939225206e-02
  18.3500000    1.0000000000e-10    6.0646886704e-06    6.8903444763e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.3497227541e-01   -3.6584630496e-02   -3.0946251081e-04    9.5362146887e-02
  18.4000000    1.0000000000e-10    6.0682797880e-06    7.4639181278e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.3502087929e-01   -3.6580987590e-02   -3.1042455093e-04    9.5786811111e-02
  18.4500000    1.0000000000e-10    6.0719762823e-06    7.6155172835e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.3506951566e-01   -3.6577249356e-02   -3.1138080802e-04    9.6213260032e-02
  18.5000000    1.0000000000e-10    6.0757793358e-06    7.3403073826e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.3511818714e-01   -3.6572613285e-02   -3.1233120889e-04    9.6641531208e-02
  18.5500000    1.0000000000e-10    6.0796901641e-06    8.6060674605e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.3516689632e-01   -3.6567125142e-02   -3.1327567349e-04    9.7071657720e-02
  18.6000000    1.0000000000e-10    6.0837100160e-06    7.6784552593e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.3521564579e-01   -3.6561496155e-02   -3.1421411458e-04    9.7503668349e-02
  18.6500000    1.0000000000e-10    6.0878401735e-06    8.6909721840e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.3526443808e-01   -3.6554842947e-02   -3.2874443083e-04    9.7937587805e-02
  18.7000000    1.0000000000e-10    6.0920819516e-06    1.0462489355e+01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.3531327572e-01   -3.6546933725e-02   -3.7802856744e-04    9.8373436999e-02
  18.7500000    1.0000000000e-10    6.0964366984e-06    8.7054018722e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.3536216117e-01   -3.6538794848e-02   -4.4370285855e-04    9.8811233366e-02
  18.8000000    1.0000000000e-10    6.1009057944e-06    9.3833740817e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.3541109686e-01   -3.6529628388e-02   -4.6499838084e-04    9.9250991230e-02
  18.8500000    1.0000000000e-10    6.1054906523e-06    1.1711855782e+01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.3546008515e-01   -3.6518750498e-02   -4.8886006882e-04    9.9692722201e-02
  18.9000000    1.0000000000e-10    6.1101927169e-06    9.2414217447e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.3550912838e-01   -3.6507459904e-02   -5.4511338423e-04    1.0013643561e-01
  18.9500000    1.0000000000e-10    6.1150134644e-06    1.0817266940e+01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.3555822878e-01   -3.6495415819e-02   -6.1243542256e-04    1.0058213895e-01
  19.0000000    1.0000000000e-10    6.1199544019e-06    1.1854552029e+01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.3560738856e-01   -3.6481347204e-02   -6.6128545327e-04    1.0102983838e-01
  19.0500000    1.0000000000e-10    6.1250170666e-06    9.5779643699e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.3565660983e-01   -3.6466440796e-02   -6.8630101974e-04    1.0147953920e-01
  19.1000000    1.0000000000e-10    6.1302030251e-06    1.0767502950e+01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.3570589463e-01   -3.6451173020e-02   -7.7046545592e-04    1.0193124629e-01
  19.1500000    1.0000000000e-10    6.1355138724e-06    1.1430500819e+01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.3575524488e-01   -3.6433926710e-02   -8.1843688823e-04    1.0238496466e-01
  19.2000000    1.0000000000e-10    6.1409512310e-06    1.0318477385e+01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.3580466243e-01   -3.6415223421e-02   -9.2732658088e-04    1.0284069987e-01
  19.2500000    1.0000000000e-10    6.1465167497e-06    1.2236392049e+01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.3585414901e-01   -3.6396441255e-02   -9.2367489060e-04    1.0329845845e-01
  19.3000000    1.0000000000e-10    6.1522121028e-06    1.0300233102e+01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.3590370625e-01   -3.6376246260e-02   -1.0178852185e-03    1.0375824835e-01
  19.3500000    1.0000000000e-10    6.1580389892e-06    9.4142806899e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.3595333564e-01   -3.6353968829e-02   -1.0660073474e-03    1.0422007924e-01
  19.4000000    1.0000000000e-10    6.1639991311e-06    1.3309500560e+01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.3600303859e-01   -3.6331251898e-02   -1.1743428806e-03    1.0468396279e-01
