# time  Re_m-2(R=10)  Im_m-2(R=10)  Re_m-1(R=10)  Im_m-1(R=10)  Re_m0(R=10)  Im_m0(R=10)  Re_m1(R=10)  Im_m1(R=10)  Re_m2(R=10)  Im_m2(R=10)  Re_m-2(R=14)  Im_m-2(R=14)  Re_m-1(R=14)  Im_m-1(R=14)  Re_m0(R=14)  Im_m0(R=14)  Re_m1(R=14)  Im_m1(R=14)  Re_m2(R=14)  Im_m2(R=14)  Re_m-2(R=18)  Im_m-2(R=18)  Re_m-1(R=18)  Im_m-1(R=18)  Re_m0(R=18)  Im_m0(R=18)  Re_m1(R=18)  Im_m1(R=18)  Re_m2(R=18)  Im_m2(R=18)
4.5999999999999403e+01  2.0789728523851664e-02  9.3198568097246206e-08  6.3525359669015497e-06  -6.7723808789540429e-06  -1.7021209754212244e-02  -3.2413353504593988e-13  6.3660470489609132e-06  6.7849609361774992e-06  2.0796049205279585e-02  -9.3198885674269916e-08  2.0247508828484018e-02  4.7552012929743012e-06  6.7818283372228719e-06  -7.2698827077080405e-06  -1.6596505150307451e-02  -2.4393990781502816e-13  6.7818276234830942e-06  7.2698833346156256e-06  2.0247508828828902e-02  -4.7552016604161485e-06  6.5707776179393315e-03  2.3892713793723072e-06  1.1930604265241536e-06  -1.6350895862452975e-06  -5.4356021082572524e-03  -5.9323056139591241e-13  1.1930583917678074e-06  1.6350902167828587e-06  6.5707776141985313e-03  -2.3892716088270536e-06
4.6999999999999197e+01  1.9255222456356177e-02  1.1804011494878604e-07  5.6261032565647331e-06  -6.7698615234061435e-06  -1.5779917005807834e-02  -9.4401912431963562e-14  5.6417008004992150e-06  6.7594870546755868e-06  1.9262547028958958e-02  -1.1803990832742086e-07  2.1370442315417331e-02  4.7832285542125352e-06  6.9038368754275627e-06  -8.1062008252406805e-06  -1.7504554143940962e-02  1.3547931123533268e-13  6.9038352712157762e-06  8.1062020778630760e-06  2.1370442315542963e-02  -4.7832288310121188e-06  1.0466000166466514e-02  3.6688751335025760e-06  1.8880169707664112e-06  -2.6575590103820423e-06  -8.6270006646863451e-03  -1.8763046927089977e-13  1.8880165002333568e-06  2.6575595741003733e-06  1.0466000161429477e-02  -3.6688734472311283e-06
4.7999999999998998e+01  1.7316726701125242e-02  5.4590975797558882e-08  4.7847080186067824e-06  -6.6608114112432584e-06  -1.4237123570017812e-02  2.7104051689825858e-13  4.7867887747841812e-06  6.6777905551183478e-06  1.7324433100858863e-02  -5.4590882166109379e-08  2.1820414172427530e-02  4.6410796365831735e-06  6.7824385996333126e-06  -8.7983549929482988e-06  -1.7863866319443183e-02  -5.2267161304688024e-13  6.7824366447067558e-06  8.7983568238213070e-06  2.1820414173017381e-02  -4.6410801899236390e-06  1.3865501912923716e-02  4.7607467672217481e-06  2.4457787826524359e-06  -3.5954236200501973e-06  -1.1399255183283902e-02  1.5485832039990500e-12  2.4457763131236256e-06  3.5954218529530031e-06  1.3865501907860362e-02  -4.7607425368713362e-06
4.8999999999998799e+01  1.5047192870638521e-02  4.2534960976958812e-08  3.9536549873804332e-06  -6.4041912760344308e-06  -1.2418714389910299e-02  1.4220195036846883e-13  3.9540152940465813e-06  6.4115058464532844e-06  1.5055438314705440e-02  -4.2535115842135294e-08  2.1636048377905229e-02  4.5590005173759420e-06  6.4187043181521879e-06  -9.2199341274749816e-06  -1.7752326865727058e-02  -1.0750550869815113e-12  6.4187031779061279e-06  9.2199349747253216e-06  2.1636048379432900e-02  -4.5590002585171718e-06  1.6674532085632677e-02  5.7079335629756706e-06  2.8912591897900198e-06  -4.4316304485931030e-06  -1.3683276400188037e-02  -4.0847020990370815e-13  2.8912581887213745e-06  4.4316292849723150e-06  1.6674532083338862e-02  -5.7079309853472489e-06
4.9999999999998600e+01  1.2520136051083396e-02  4.3560776872239308e-08  3.1270667488451739e-06  -5.7931846703825958e-06  -1.0394904624372602e-02  -7.0386742891408339e-14  3.1451589759485311e-06  5.8078627881968954e-06  1.2528499248527981e-02  -4.3560481730749583e-08  2.0910650761016780e-02  4.2697959016670796e-06  5.9237830378617011e-06  -9.6153329973775533e-06  -1.7107072272778953e-02  -1.0824463057966147e-12  5.9237808798510722e-06  9.6153315380746854e-06  2.0910650765210034e-02  -4.2697970499198938e-06  1.8831554994231812e-02  6.2998452743893132e-06  3.1678604026855977e-06  -5.2390405981094471e-06  -1.5471130527336709e-02  -3.6956095408535324e-12  3.1678570093638993e-06  5.2390396938628369e-06  1.8831554993532802e-02  -6.2998461133388531e-06
5.0999999999998401e+01  9.7966081324102824e-03  2.9115795857532005e-08  2.2617499572939282e-06  -5.1389182157916299e-06  -8.2164318191143941e-03  -8.2929079734568369e-13  2.2971420918474331e-06  5.1782695185959696e-06  9.8052140742555059e-03  -2.9115666514461445e-08  1.9659052951017032e-02  3.7981495319187486e-06  5.3285076391487375e-06  -9.7879344789708563e-06  -1.6126134374260470e-02  1.9428628259331269e-13  5.3285053445877221e-06  9.7879328471410159e-06  1.9659052954779141e-02  -3.7981509793948275e-06  2.0364033043400100e-02  6.6025211687331227e-06  3.2835338673228696e-06  -5.9243508301485578e-06  -1.6700533829830871e-02  1.4914484523382590e-12  3.2835332009077171e-06  5.9243484369028627e-06  2.0364033043836077e-02  -6.6025218587006811e-06
5.1999999999998202e+01  6.9684396362083949e-03  1.5027926113795942e-08  1.5151835639449740e-06  -4.1197716686695788e-06  -5.9475685231349749e-03  -3.5351252100499716e-14  1.5042108931531604e-06  4.1694510203038013e-06  6.9770995819821054e-03  -1.5027518856004991e-08  1.7960701350764913e-02  3.1862543541123823e-06  4.6672767313664296e-06  -9.7970659206682919e-06  -1.4753940629677217e-02  9.7640668486365743e-13  4.6672766138476445e-06  9.7970649699367092e-06  1.7960701352955806e-02  -3.1862545768558034e-06  2.1226515076790558e-02  6.6246601003278195e-06  3.2926333021424959e-06  -6.4685303176657151e-06  -1.7436834666549356e-02  8.6996138337690375e-13  3.2926355901436515e-06  6.4685309001907703e-06  2.1226515084376747e-02  -6.6246575583693443e-06
5.2999999999998003e+01  4.0885041772133323e-03  4.6725268506268267e-08  8.3150661741340456e-07  -2.9964973716440109e-06  -3.6400961126860426e-03  9.6672411775649499e-14  8.1343958897868701e-07  3.0249324101252432e-06  4.0967939168617016e-03  -4.6725688982289158e-08  1.5889977221922091e-02  2.7038906812351991e-06  3.9268864143654004e-06  -9.2880261613934605e-06  -1.3035113112623087e-02  4.4047142254745195e-14  3.9268896784030916e-06  9.2880266010412142e-06  1.5889977223908124e-02  -2.7038905296914045e-06  2.1459456378325244e-02  6.4251896356224258e-06  3.2035661183320181e-06  -7.0185428118047510e-06  -1.7610869735164219e-02  -3.3048831510882988e-12  3.2035586031342445e-06  7.0185424120323896e-06  2.1459456385786294e-02  -6.4251883887291274e-06
5.3999999999997797e+01  1.2368892027395811e-03  1.1614874471583661e-08  1.2494780509690845e-07  -1.4792078334241247e-06  -1.3553272726507658e-03  3.1117328641795169e-13  1.3958229184867003e-07  1.5224334044648283e-06  1.2445100137661127e-03  -1.1615224584154659e-08  1.3501759162913893e-02  2.2691793293930166e-06  3.1948925815664958e-06  -8.6344346271212284e-06  -1.1142557210778576e-02  -4.5989989449744071e-13  3.1948937035858692e-06  8.6344374002597181e-06  1.3501759161619822e-02  -2.2691802785071602e-06  2.1100338967899434e-02  6.0216485807059881e-06  2.9863538603280544e-06  -7.3447497340363195e-06  -1.7316518927896929e-02  -1.7344299271798155e-13  2.9863470552737498e-06  7.3447426114322314e-06  2.1100338981154047e-02  -6.0216489238818847e-06
5.4999999999997598e+01  -1.5328329782939175e-03  7.0960716040991489e-09  -6.1866287931883847e-07  -8.5133328301062427e-08  8.7116382023909159e-04  1.6126478878757569e-13  -5.7675658511753279e-07  8.9276900561244289e-08  -1.5260951473385252e-03  -7.0960959202553332e-09  1.0868455955489891e-02  1.8317208340861068e-06  2.3790283888181140e-06  -7.6106094533820694e-06  -9.0032053190265103e-03  -1.4887578253409492e-12  2.3790275635413182e-06  7.6106092642639577e-06  1.0868455956410674e-02  -1.8317208864120421e-06  2.0188454309658634e-02  5.3620487654065608e-06  2.7404996059322309e-06  -7.5429544933138600e-06  -1.6539781638629722e-02  4.9017883944351575e-12  2.7404924048010706e-06  7.5429470500358020e-06  2.0188454320386500e-02  -5.3620459526870804e-06
