# time  Re_m-2(R=14)  Im_m-2(R=14)  Re_m-1(R=14)  Im_m-1(R=14)  Re_m0(R=14)  Im_m0(R=14)  Re_m1(R=14)  Im_m1(R=14)  Re_m2(R=14)  Im_m2(R=14)  Re_m-2(R=30)  Im_m-2(R=30)  Re_m-1(R=30)  Im_m-1(R=30)  Re_m0(R=30)  Im_m0(R=30)  Re_m1(R=30)  Im_m1(R=30)  Re_m2(R=30)  Im_m2(R=30)
2.1000000000000501e+01  1.4355104190077950e-02  -1.1956996845076999e-02  -3.8893305006359772e-06  -8.3183404717897528e-06  -9.7023914454748804e-03  -1.4784981344210699e-06  -3.8717169659593336e-06  8.3504519086974490e-06  1.4361393304658297e-02  1.1953433954330501e-02  1.1829216575138656e-03  -7.4413811982991897e-04  -6.9124403835141896e-07  -7.5651749611818875e-07  1.2757227927015589e-04  3.8715006694885245e-15  -6.9124434522001212e-07  7.5651755849876268e-07  1.1829216576148994e-03  7.4413811979578200e-04
2.2000000000000600e+01  1.1906869052469765e-02  -1.3386037201065338e-02  -3.3438449940932520e-06  -8.6855578257016670e-06  -8.8046617733191727e-03  -1.1694374739147618e-06  -3.3712104319244334e-06  8.6675792998751750e-06  1.1915092037823575e-02  1.3382545745836687e-02  1.4905424689814816e-03  -1.0294812812786163e-03  -8.9271979932813397e-07  -9.7302899141455515e-07  1.1559897630895771e-04  3.3043775947091698e-14  -8.9272006585133290e-07  9.7302886468863157e-07  1.4905424691551536e-03  1.0294812810880021e-03
2.3000000000000799e+01  8.7949860299786943e-03  -1.4760996157434481e-02  -2.8202301456292592e-06  -8.9900704858852342e-06  -7.4727238481041257e-03  -7.9493043701674582e-07  -2.8086717870234028e-06  8.9975408734570304e-06  8.8053013711512085e-03  1.4757662694884009e-02  1.8651760122251420e-03  -1.3609442683049375e-03  -1.1761407135565623e-06  -1.2404955388279018e-06  9.6872317669556300e-05  2.9004921684258221e-14  -1.1761407018361246e-06  1.2404951952742079e-06  1.8651760121327586e-03  1.3609442682312521e-03
2.4000000000000998e+01  5.1254042742637628e-03  -1.6049916006580095e-02  -4.3898302577170717e-06  -8.5274228695164874e-06  -5.8348029407321103e-03  -1.9602449701920958e-07  -4.3929085746169448e-06  8.5863214280700552e-06  5.1370231514378997e-03  1.6047509701868003e-02  2.3168945683912927e-03  -1.7513440902498757e-03  -1.7574448649134990e-06  -1.5324902777559559e-06  6.4472296143428887e-05  -3.6809195269057278e-14  -1.7574448952330658e-06  1.5324905654784242e-06  2.3168945683677794e-03  1.7513440899967901e-03
2.5000000000001101e+01  9.6574292936415064e-04  -1.7165817684359767e-02  -3.4812613467776243e-06  -1.0945913890079035e-05  -4.0022642901251845e-03  -2.1866481569963320e-07  -3.4456343010423859e-06  1.0948123638682233e-05  9.7770128004906454e-04  1.7163877813197052e-02  2.8530595016718319e-03  -2.2037664140808159e-03  -2.6198072424092602e-06  -1.8901862215125873e-06  1.6721944309324625e-06  -1.6106373843687884e-14  -2.6198070160763214e-06  1.8901863264349022e-06  2.8530595016580396e-03  2.2037664141776980e-03
2.6000000000001300e+01  -3.6053261023333543e-03  -1.8028980431940522e-02  -2.9736817291618156e-06  -1.2224787663179003e-05  -2.0747293717768142e-03  9.4258470186296857e-08  -2.9455192643296102e-06  1.2262661485993717e-05  -3.5926901526787511e-03  1.8027914547178159e-02  3.4809468003463781e-03  -2.7067159232225507e-03  -2.7320060162177591e-06  -2.4172485790283964e-06  -1.0146644739330919e-04  6.6146718204340292e-14  -2.7320062107935404e-06  2.4172485272351265e-06  3.4809468003195259e-03  2.7067159232004464e-03
2.7000000000001400e+01  -8.5094652660831667e-03  -1.8570069569762267e-02  -3.9914637005750683e-06  -1.6522348395739675e-05  -1.2755459715694660e-04  8.0966611680838491e-07  -3.9350517715994498e-06  1.6600964813065904e-05  -8.4975847560026865e-03  1.8570451787938723e-02  4.2042261499699272e-03  -3.2442228575124267e-03  -3.5826583112896803e-06  -2.8849778912818293e-06  -2.7227880687443005e-04  1.0227597418625253e-13  -3.5826585482431751e-06  2.8849777723321307e-06  4.2042261496616339e-03  3.2442228573489550e-03
2.8000000000001599e+01  -1.3615064292020715e-02  -1.8705433304384799e-02  -6.2435663504523206e-06  -2.1053921467342252e-05  1.7175519735617014e-03  1.5485488762128784e-06  -6.2819585680386685e-06  2.0983752629421024e-05  -1.3603872858402933e-02  1.8706976921527892e-02  5.0109084932330053e-03  -3.8268051803462236e-03  -4.0547649512292708e-06  -3.3990478377958419e-06  -5.4316636408240158e-04  -2.4755214345194428e-13  -4.0547651046052078e-06  3.3990477363436632e-06  5.0109084931220923e-03  3.8268051803774829e-03
2.9000000000001702e+01  -1.8849704193312052e-02  -1.8348198408995910e-02  -6.7238246535181269e-06  -2.3264742437521156e-05  3.4862565621406470e-03  1.5322378588507237e-06  -6.7472350287392734e-06  2.3253445773899323e-05  -1.8839589945766202e-02  1.8350720498938763e-02  5.8818581298088262e-03  -4.4358855249214246e-03  -4.7064621950113705e-06  -3.9206188226398293e-06  -9.4582549279787441e-04  1.7698736280461424e-13  -4.7064624749683338e-06  3.9206189895432695e-06  5.8818581292689040e-03  4.4358855250190244e-03
3.0000000000001901e+01  -2.4068789830904533e-02  -1.7392950205667428e-02  -8.2235513237180333e-06  -2.5733778547008789e-05  4.9853157859860529e-03  2.2419207151219223e-06  -8.2435178658372394e-06  2.5750988667642298e-05  -2.4060020705303459e-02  1.7396809858032863e-02  6.7742844590365382e-03  -5.0679882157526595e-03  -5.1546378980424158e-06  -4.4142365914984089e-06  -1.5255566144729510e-03  4.2467914916703405e-13  -5.1546379403186247e-06  4.4142374197898891e-06  6.7742844592575619e-03  5.0679882161166930e-03
