time  net_outward_flux  psi4_boundary_amp
4.1000000000000398e+01  5.4294982217053200e-04  1.9247088393337297e-06
4.2000000000000199e+01  6.3801433442580726e-04  2.0970558116850363e-06
4.3000000000000000e+01  7.6161009500258601e-04  2.1473392794012213e-06
4.3999999999999801e+01  9.2322003802675263e-04  3.1022769516722370e-06
4.4999999999999602e+01  1.1352392954665038e-03  2.7839002507384946e-06
4.5999999999999403e+01  1.4142977282018371e-03  3.7840036214409141e-06
4.6999999999999197e+01  1.7825663394993724e-03  3.8988692108233050e-06
4.7999999999998998e+01  2.2685445387091814e-03  4.6722926720480096e-06
4.8999999999998799e+01  2.9083789774020522e-03  5.4413751851355001e-06
4.9999999999998600e+01  3.7448399878172323e-03  8.0675542136331507e-06
5.0999999999998401e+01  4.8217538401874229e-03  1.0674151656583779e-05
5.1999999999998202e+01  6.1767087573669161e-03  1.4085120770002482e-05
5.2999999999998003e+01  7.8370064349382353e-03  1.7443430925396958e-05
5.3999999999997797e+01  9.8214356332147132e-03  2.0101646419709857e-05
5.4999999999997598e+01  1.2145058232449038e-02  2.2051287329349118e-05
5.5999999999997399e+01  1.4821287019999296e-02  2.4072754184628055e-05
5.6999999999997200e+01  1.7861872796433254e-02  2.5119575347300507e-05
5.7999999999997002e+01  2.1275943388651103e-02  2.5725430208921274e-05
5.8999999999996803e+01  2.5069644249184043e-02  2.6096169213479805e-05
5.9999999999996597e+01  2.9246991293271379e-02  2.6430154413768263e-05
6.0999999999996398e+01  3.3807657095395030e-02  2.6956189984174979e-05
6.1999999999996199e+01  3.8750149222659375e-02  2.7344184889536597e-05
6.2999999999996000e+01  4.4071523409111260e-02  2.7385884544000877e-05
6.3999999999995801e+01  4.9769623078007516e-02  2.7315414764720980e-05
6.4999999999996305e+01  5.5842591098525012e-02  2.7062221508085491e-05
6.5999999999996902e+01  6.2290753435739032e-02  2.6756789744797257e-05
6.6999999999997399e+01  6.9122645492585982e-02  2.6641146748206578e-05
6.7999999999997897e+01  7.6348916425090674e-02  2.6744457828954706e-05
6.8999999999998394e+01  8.3987503399286817e-02  2.7133057189966917e-05
6.9999999999998906e+01  9.2070380006574720e-02  2.7538083958858430e-05
7.0999999999999403e+01  1.0064150849504157e-01  2.7714705620583142e-05
7.1999999999999901e+01  1.0976240100304506e-01  2.7902450811323626e-05
7.3000000000000398e+01  1.1951465289725464e-01  2.8296101851118005e-05
7.4000000000000995e+01  1.2999271842093651e-01  2.8789863398800502e-05
7.5000000000001506e+01  1.4129902054253962e-01  2.9178758435327780e-05
7.6000000000002004e+01  1.5354615810358671e-01  2.9434626028820356e-05
7.7000000000002501e+01  1.6685965545530757e-01  2.9601189681697209e-05
7.8000000000002998e+01  1.8137797006100492e-01  2.9651350730161434e-05
7.9000000000003496e+01  1.9725143609262591e-01  2.9580533526058539e-05
8.0000000000003993e+01  2.1463849176956407e-01  2.9466385890714980e-05
8.1000000000004505e+01  2.3369905506442898e-01  2.9402945173768588e-05
8.2000000000005002e+01  2.5458712738074218e-01  2.9426468360003764e-05
8.3000000000005599e+01  2.7743834417698382e-01  2.9511258099525753e-05
8.4000000000006096e+01  3.0234414662209036e-01  2.9652846527528170e-05
8.5000000000006594e+01  3.2930846010107068e-01  2.9929290891243325e-05
8.6000000000007105e+01  3.5818414625823281e-01  3.0456176071536312e-05
8.7000000000007603e+01  3.8858069334475831e-01  3.1302030790319323e-05
8.8000000000008100e+01  4.1972724993744071e-01  3.2460319668008465e-05
8.9000000000008598e+01  4.5027298973092589e-01  3.3883689655264822e-05
9.0000000000009095e+01  4.7800898201812425e-01  3.5531198996402021e-05
9.1000000000009607e+01  4.9949808271993501e-01  3.7388813687008473e-05
9.2000000000010203e+01  5.0960085962778079e-01  3.9467712114610139e-05
