# time  f_op  f_geo  geo_trustworthy  max_local_speed  superluminal_fraction  max_shift  structure_coherence  reachable  n_rays  n_reached  max_h_rel_drift  f_geo_evol  f_geo_evol_ok
2.3199999999993400e+02  1.8957198221098463e-03  3.4624505120613614e-03  1  1.0153393565410351e+00  0.0000000000000000e+00  9.3663520844435336e-04  nan  1  5  5  2.4755924710579606e-05  0.0000000000000000e+00  0
2.3599999999993000e+02  0.0000000000000000e+00  4.9204636954483202e-04  1  1.0154113725471487e+00  0.0000000000000000e+00  9.5594380182515608e-04  nan  1  5  5  3.0611159254046690e-06  0.0000000000000000e+00  0
2.3999999999992701e+02  0.0000000000000000e+00  7.2427446100994009e-04  1  1.0154509092922084e+00  0.0000000000000000e+00  9.7867833658290214e-04  nan  1  5  5  4.4687459551225081e-06  0.0000000000000000e+00  0
2.4399999999992301e+02  0.0000000000000000e+00  9.6458582106495594e-04  1  1.0154557040962846e+00  0.0000000000000000e+00  1.0019785447382271e-03  nan  1  5  5  5.9850255508400153e-06  0.0000000000000000e+00  0
2.4799999999991900e+02  0.0000000000000000e+00  1.2096935197425383e-03  1  1.0155555748027500e+00  0.0000000000000000e+00  1.0227349602045244e-03  nan  1  5  5  7.5654689009488701e-06  0.0000000000000000e+00  0
2.5199999999991601e+02  0.0000000000000000e+00  1.4599447704329487e-03  1  1.0156231102306155e+00  0.0000000000000000e+00  1.0434719671528112e-03  nan  1  5  5  9.1855777607219732e-06  0.0000000000000000e+00  0
2.5599999999991201e+02  4.2933554545302430e-05  1.7165968932089349e-03  1  1.0156549471800242e+00  0.0000000000000000e+00  1.0681731114457220e-03  nan  1  5  5  1.0852890626808259e-05  0.0000000000000000e+00  0
2.5999999999990899e+02  2.4392308310136791e-04  1.9789584396381586e-03  1  1.0156899617123034e+00  0.0000000000000000e+00  1.0905972704641866e-03  nan  1  5  5  1.2618761245934795e-05  0.0000000000000000e+00  0
2.6399999999990501e+02  4.5177640374498138e-04  2.2481390422667154e-03  1  1.0157836440219010e+00  0.0000000000000000e+00  1.1106867596736808e-03  nan  1  5  5  1.4446023218214415e-05  0.0000000000000000e+00  0
2.6799999999990098e+02  6.6731783116686174e-04  2.5242248530831109e-03  1  1.0158375781839959e+00  0.0000000000000000e+00  1.1367726485633383e-03  nan  1  5  5  1.6339057636163265e-05  0.0000000000000000e+00  0
2.7199999999989802e+02  8.9100665573308877e-04  2.8078120405799424e-03  1  1.0158508871041705e+00  0.0000000000000000e+00  1.1598726486416325e-03  nan  1  5  5  1.8304226722153333e-05  0.0000000000000000e+00  0
2.7599999999989399e+02  1.1232365314986044e-03  3.0996203761640075e-03  1  1.0159381497197899e+00  0.0000000000000000e+00  1.1799678761122889e-03  nan  1  5  5  2.0349256316603336e-05  0.0000000000000000e+00  0
2.7999999999989001e+02  1.3643563026082416e-03  3.3998458280470874e-03  1  1.0160125287592208e+00  0.0000000000000000e+00  1.2070759332918175e-03  nan  1  5  5  2.2473894399823406e-05  0.0000000000000000e+00  0
2.8399999999988700e+02  1.6144674588306461e-03  3.7084761827901568e-03  1  1.0160425677189306e+00  0.0000000000000000e+00  1.2309989573778264e-03  nan  1  5  5  2.4682821849482422e-05  0.0000000000000000e+00  0
2.8799999999988302e+02  0.0000000000000000e+00  7.3601086464332899e-04  1  1.0160944511154448e+00  0.0000000000000000e+00  1.2521259226618946e-03  nan  1  5  5  3.8655514971775182e-06  0.0000000000000000e+00  0
2.9199999999987898e+02  0.0000000000000000e+00  1.0269550459673924e-03  1  1.0161850047722718e+00  0.0000000000000000e+00  1.2795179773574196e-03  nan  1  5  5  5.4995933323297743e-06  0.0000000000000000e+00  0
2.9599999999987602e+02  0.0000000000000000e+00  1.3222232819493701e-03  1  1.0162284485839672e+00  0.0000000000000000e+00  1.3033122118758359e-03  nan  1  5  5  7.2888251833873532e-06  0.0000000000000000e+00  0
2.9999999999987199e+02  0.0000000000000000e+00  1.6218079071285262e-03  1  1.0162570532194457e+00  0.0000000000000000e+00  1.3267048295998443e-03  nan  1  5  5  9.1549628286012535e-06  0.0000000000000000e+00  0
3.0399999999986898e+02  0.0000000000000000e+00  1.9264447000406140e-03  1  1.0163594243337373e+00  0.0000000000000000e+00  1.3539116017523339e-03  nan  1  5  5  1.1086961197555785e-05  0.0000000000000000e+00  0
3.0799999999986500e+02  4.8740395795416377e-06  2.2367220280642788e-03  1  1.0164118160393258e+00  0.0000000000000000e+00  1.3767325177682836e-03  nan  1  5  5  1.3066852286399716e-05  0.0000000000000000e+00  0
3.1199999999986102e+02  2.4886312887909050e-04  2.5531390696889276e-03  1  1.0164299509848806e+00  0.0000000000000000e+00  1.4034176440013667e-03  nan  1  5  5  1.5091556038994160e-05  0.0000000000000000e+00  0
3.1599999999985801e+02  5.0104607992128259e-04  2.8767068277291137e-03  1  1.0165395898604410e+00  0.0000000000000000e+00  1.4296919291290737e-03  nan  1  5  5  1.7197690669467502e-05  0.0000000000000000e+00  0
3.1999999999985403e+02  7.6271808232419858e-04  3.2080876343477788e-03  1  1.0165963452269318e+00  0.0000000000000000e+00  1.4522610436266290e-03  nan  1  5  5  1.9438393674633005e-05  0.0000000000000000e+00  0
3.2399999999984999e+02  1.0343088660462363e-03  3.5476318777546046e-03  1  1.0166122715095651e+00  0.0000000000000000e+00  1.4817516300577060e-03  nan  1  5  5  2.1769070005008370e-05  0.0000000000000000e+00  0
3.2799999999984698e+02  1.3159937217472270e-03  3.8958739689243234e-03  1  1.0167251678716758e+00  0.0000000000000000e+00  1.5054576344138671e-03  nan  1  5  5  2.4192328676106600e-05  0.0000000000000000e+00  0
3.3199999999984300e+02  0.0000000000000000e+00  9.7425190368075976e-04  1  1.0167823167478724e+00  0.0000000000000000e+00  1.5332072524066379e-03  nan  1  5  5  4.5883660709099691e-06  0.0000000000000000e+00  0
3.3599999999983902e+02  0.0000000000000000e+00  1.3072614102090556e-03  1  1.0168062643322684e+00  0.0000000000000000e+00  1.5600692104543047e-03  nan  1  5  5  6.3492738954365491e-06  0.0000000000000000e+00  0
3.3999999999983601e+02  0.0000000000000000e+00  1.6425248686830543e-03  1  1.0169164246485258e+00  0.0000000000000000e+00  1.5847524476760586e-03  nan  1  5  5  8.2862476136893758e-06  0.0000000000000000e+00  0
3.4399999999983203e+02  0.0000000000000000e+00  1.9807802548927394e-03  1  1.0169679127021551e+00  0.0000000000000000e+00  1.6142599969939282e-03  nan  1  5  5  1.0305785951318676e-05  0.0000000000000000e+00  0
3.4799999999982901e+02  0.0000000000000000e+00  2.3232914016302337e-03  1  1.0170084678559128e+00  0.0000000000000000e+00  1.6365269782976722e-03  nan  1  5  5  1.2357612075942060e-05  0.0000000000000000e+00  0
3.5199999999982498e+02  0.0000000000000000e+00  2.6711258187741803e-03  1  1.0171121910929966e+00  0.0000000000000000e+00  1.6686164534333193e-03  nan  1  5  5  1.4516958079816442e-05  0.0000000000000000e+00  0
3.5599999999982100e+02  1.9925002828344722e-04  3.0244970957106327e-03  1  1.0171544993321395e+00  0.0000000000000000e+00  1.6932518033815206e-03  nan  1  5  5  1.6725883833469394e-05  0.0000000000000000e+00  0
3.5999999999981799e+02  4.8019540470639968e-04  3.3846879094482727e-03  1  1.0172184084029905e+00  0.0000000000000000e+00  1.7233394662489986e-03  nan  1  5  5  1.8991426413348277e-05  0.0000000000000000e+00  0
3.6399999999981401e+02  7.7199814304135131e-04  3.7527568000250695e-03  1  1.0173089354214944e+00  0.0000000000000000e+00  1.7497134534750112e-03  nan  1  5  5  2.1317853088515447e-05  0.0000000000000000e+00  0
3.6799999999980997e+02  1.0751836678362010e-03  4.1293532767065298e-03  1  1.0173365795475493e+00  0.0000000000000000e+00  1.7785695014112205e-03  nan  1  5  5  2.3776887904600285e-05  0.0000000000000000e+00  0
3.7199999999980702e+02  0.0000000000000000e+00  1.2951708794459477e-03  1  1.0174324924322211e+00  0.0000000000000000e+00  1.8065313178294814e-03  nan  1  5  5  5.6778863116254096e-06  0.0000000000000000e+00  0
3.7599999999980298e+02  0.0000000000000000e+00  1.6568799597619734e-03  1  1.0175053698394427e+00  0.0000000000000000e+00  1.8343630170313781e-03  nan  1  5  5  7.5408957794579527e-06  0.0000000000000000e+00  0
3.7999999999979900e+02  0.0000000000000000e+00  2.0191784119961819e-03  1  1.0175361615775682e+00  0.0000000000000000e+00  1.8635879214669142e-03  nan  1  5  5  9.5539251713462443e-06  0.0000000000000000e+00  0
3.8399999999979599e+02  0.0000000000000000e+00  2.3833041409257764e-03  1  1.0176451937170139e+00  0.0000000000000000e+00  1.8912222128299127e-03  nan  1  5  5  1.1630595034555879e-05  0.0000000000000000e+00  0
3.8799999999979201e+02  0.0000000000000000e+00  2.7507507307198168e-03  1  1.0176979768098611e+00  0.0000000000000000e+00  1.9208825274601550e-03  nan  1  5  5  1.3769503692367302e-05  0.0000000000000000e+00  0
3.9199999999978797e+02  0.0000000000000000e+00  3.1230845171585173e-03  1  1.0177672413352374e+00  0.0000000000000000e+00  1.9485604007137851e-03  nan  1  5  5  1.5937440820071425e-05  0.0000000000000000e+00  0
3.9599999999978502e+02  1.6872826583970229e-04  3.4995457329394732e-03  1  1.0178541825526850e+00  0.0000000000000000e+00  1.9789088127144740e-03  nan  1  5  5  1.8135971868898914e-05  0.0000000000000000e+00  0
3.9999999999978098e+02  4.6785461687952898e-04  3.8831721129317649e-03  1  1.0179223658646048e+00  0.0000000000000000e+00  2.0074444403473733e-03  nan  1  5  5  2.0482172637246754e-05  0.0000000000000000e+00  0
4.0399999999977803e+02  7.7901910896392441e-04  4.2744143225307649e-03  1  1.0179907607713030e+00  0.0000000000000000e+00  2.0372009397951179e-03  nan  1  5  5  2.2900576950402642e-05  0.0000000000000000e+00  0
4.0799999999977399e+02  0.0000000000000000e+00  1.5633231242942159e-03  1  1.0180588423541292e+00  0.0000000000000000e+00  2.0666202793836728e-03  nan  1  5  5  6.4635542755944686e-06  0.0000000000000000e+00  0
4.1199999999977001e+02  0.0000000000000000e+00  1.9413092362488248e-03  1  1.0181636043439217e+00  0.0000000000000000e+00  2.0955240343110580e-03  nan  1  5  5  8.3562281682230029e-06  0.0000000000000000e+00  0
