# time  total_activity  peak_activity  rms_radius  confined_frac  bary_x  bary_y  bary_z  r_conf  total_activity_proper  rms_radius_proper  confined_frac_proper  rms_radius_canon  confined_frac_canon  rms_radius_phantom  confined_frac_phantom  canon_mass_frac  min_chi
2.9599999999987602e+02  1.0537854394331417e+01  2.4349834277475637e-02  7.2263759480616203e+00  2.3766455548046397e-01  3.2275977437181155e+01  3.1999935748538167e+01  3.1999958995104642e+01  4.7999999999999998e+00  1.0539383456107688e+01  7.2263083391066489e+00  2.3853172459581637e-01  4.9921643890485701e+00  7.5138919754589450e-01  4.9574122610202362e+00  7.4455517870100096e-01  4.9021344555325241e-01  9.8821789327336629e-01
2.9999999999987199e+02  1.0577888165162104e+01  2.4344368793633053e-02  7.2368989791372247e+00  2.3589694015654297e-01  3.2451326346213108e+01  3.1999933197223285e+01  3.1999957524169179e+01  4.7999999999999998e+00  1.0579412180660189e+01  7.2368176904062373e+00  2.3255638000335208e-01  4.9906335506405286e+00  7.5102617607018440e-01  4.9573379711357610e+00  7.4458993054358458e-01  4.9022454231532081e-01  9.8820605881276946e-01
3.0399999999986898e+02  1.0615631590571823e+01  2.4322733004863959e-02  7.2482157587330596e+00  2.3614874356687479e-01  3.2628036698852654e+01  3.1999930568706027e+01  3.1999956030283080e+01  4.7999999999999998e+00  1.0617144467683620e+01  7.2481268348116279e+00  2.3606422995158782e-01  4.9907820086156622e+00  7.4882166025333952e-01  4.9598044145462010e+00  7.4586342080098811e-01  4.9016821067611560e-01  9.8816052499122364e-01
3.0799999999986500e+02  1.0654807063046283e+01  2.4336121586950588e-02  7.2640704239738714e+00  2.3416063600673220e-01  3.2805422336109373e+01  3.1999927719450508e+01  3.1999954438227697e+01  4.7999999999999998e+00  1.0656304844009199e+01  7.2639838548435831e+00  2.3447782031110095e-01  4.9938167537262839e+00  7.5183464263553978e-01  4.9696773200129591e+00  7.4527760631711548e-01  4.9002864129589641e-01  9.8812536873654888e-01
3.1199999999986102e+02  1.0700734716235189e+01  2.4316270095830844e-02  7.2928607974056803e+00  2.2885726511010807e-01  3.2984419130584484e+01  3.1999924872448698e+01  3.1999952830521803e+01  4.7999999999999998e+00  1.0702221069129230e+01  7.2927805856511458e+00  2.3126610975539777e-01  5.0174072679196593e+00  7.5171099207013115e-01  4.9942353042956285e+00  7.4337642207299770e-01  4.8993602054187507e-01  9.8811561249697022e-01
3.1599999999985801e+02  1.0748331623649140e+01  2.4318817792804006e-02  7.3229552720045641e+00  2.2856115701386093e-01  3.3166425791557664e+01  3.1999921878787603e+01  3.1999951166734387e+01  4.7999999999999998e+00  1.0749807259117436e+01  7.3228772294210458e+00  2.2733893027905580e-01  5.0425433374670883e+00  7.5159585727741518e-01  5.0210495537072051e+00  7.4428446592219732e-01  4.8991537672343655e-01  9.8805781929884762e-01
3.1999999999985403e+02  1.0792064557919812e+01  2.4315293299438157e-02  7.3477768198666737e+00  2.2800910520306170e-01  3.3350318800987829e+01  3.1999918892591715e+01  3.1999949509271651e+01  4.7999999999999998e+00  1.0793525820783861e+01  7.3477035532111543e+00  2.2703179547321117e-01  5.0612938713007996e+00  7.5009231115105546e-01  5.0401380606137405e+00  7.4359088251143679e-01  4.8990341039001506e-01  9.8803865510513855e-01
3.2399999999984999e+02  1.0831056156665907e+01  2.4295659225854738e-02  7.3695529087284930e+00  2.2575059065689870e-01  3.3535696074976599e+01  3.1999915807907268e+01  3.1999947803224686e+01  4.7999999999999998e+00  1.0832496950878120e+01  7.3694895862493750e+00  2.2487383858906626e-01  5.0766586871283090e+00  7.4780492152461830e-01  5.0538970453858090e+00  7.4341670464608423e-01  4.8986038931242359e-01  9.8799845395537422e-01
3.2799999999984698e+02  1.0871463536565097e+01  2.4306347962516451e-02  7.3980357929966054e+00  2.2075718023738578e-01  3.3721511344033217e+01  3.1999912658489823e+01  3.1999946047172255e+01  4.7999999999999998e+00  1.0872881175031040e+01  7.3979944874599033e+00  2.2051600731973697e-01  5.0957433158089422e+00  7.5029384234759922e-01  5.0793378432275453e+00  7.4446415399164811e-01  4.8972757392810340e-01  9.8795984591366226e-01
3.3199999999984300e+02  1.0920673472549165e+01  2.4280959128253819e-02  7.4417683593939765e+00  2.2013587688808317e-01  3.1914404590161233e+01  3.1999909371039056e+01  3.1999944208658540e+01  4.7999999999999998e+00  1.0922072555416554e+01  7.4417164352691048e+00  2.2040543114537983e-01  5.1265557608819883e+00  7.5089653272293966e-01  5.1317702624521155e+00  7.4327936255580140e-01  4.8961258405649272e-01  9.8794462221805202e-01
