#   time = 90.140000,       r = 14.000000
#      theta         phi            Weyl4_Re            Weyl4_Im
   0.3490659   2.6179939    3.8129098546e-04   -3.8280425616e-04
   0.3490659   2.8797933    6.3073274223e-04   -1.1235235774e-04
   0.3490659   3.1415927    6.6714768751e-04    2.1185661987e-04
   0.3490659   3.4033920    3.6249729237e-04    5.5055305831e-04
   0.3490659   3.6651914    9.8220143579e-05    8.2953111838e-04
   0.3490659   3.9269908   -3.7138360099e-04    7.8356198684e-04
   0.3490659   4.1887902   -7.4680857200e-04    4.9296162326e-04
   0.3490659   4.4505896   -8.9952347501e-04    1.0319446328e-04
   0.3490659   4.7123890   -6.6751162652e-04   -3.0174628537e-04
   0.3490659   4.9741884   -5.6524938354e-04   -5.5841122646e-04
   0.3490659   5.2359878   -3.0210656755e-04   -7.7587815667e-04
   0.3490659   5.4977871    1.4183508834e-04   -5.3715254336e-04
   0.3490659   5.7595865    3.8153225837e-04   -3.8338836771e-04
   0.3490659   6.0213859    6.3089582316e-04   -1.1202059481e-04
   0.4363323   0.0000000    7.3033889832e-04    1.8067631709e-04
   0.4363323   0.2617994    6.0135579086e-04    6.9049099886e-04
   0.4363323   0.5235988    7.6818251563e-05    9.5924594880e-04
   0.4363323   0.7853982   -4.3759039179e-04    9.3052640769e-04
   0.4363323   1.0471976   -8.5157903892e-04    7.0453324225e-04
   0.4363323   1.3089969   -9.3642079759e-04    1.3797281331e-04
   0.4363323   1.5707963   -8.3275874561e-04   -2.4191733829e-04
   0.4363323   1.8325957   -5.6893351829e-04   -5.2027769285e-04
   0.4363323   2.0943951   -2.9164699070e-04   -6.7912813188e-04
   0.4363323   2.3561945    6.9648469481e-06   -6.4008945568e-04
   0.4363323   2.6179939    3.8076905075e-04   -5.7277634289e-04
   0.4363323   2.8797933    7.0835405783e-04   -2.4551235594e-04
   0.4363323   3.1415927    7.9204256993e-04    1.7731957247e-04
   0.4363323   3.4033920    6.0122285637e-04    6.9065725465e-04
   0.4363323   3.6651914    7.7021697096e-05    9.5824149441e-04
   0.4363323   3.9269908   -4.3750706795e-04    9.2959079468e-04
   0.4363323   4.1887902   -8.5262311378e-04    7.0598036062e-04
   0.4363323   4.4505896   -9.3717869767e-04    1.3858882348e-04
   0.4363323   4.7123890   -8.5362939522e-04   -2.4248696152e-04
   0.4363323   4.9741884   -5.6986836300e-04   -5.2091035770e-04
   0.4363323   5.2359878   -2.9035845448e-04   -6.7728342943e-04
   0.4363323   5.4977871    6.6400994642e-06   -6.3820050854e-04
   0.4363323   5.7595865    3.8183189756e-04   -5.7392046255e-04
   0.4363323   6.0213859    7.0739809693e-04   -2.4469800007e-04
   0.5235988   0.0000000    6.5671094153e-04    4.8768331151e-05
   0.5235988   0.2617994    4.1235165371e-04    4.0548237817e-04
   0.5235988   0.5235988    1.4537909792e-04    9.8543108685e-04
   0.5235988   0.7853982   -3.7106077804e-04    7.5854835018e-04
   0.5235988   1.0471976   -6.8492658535e-04    4.0805876710e-04
   0.5235988   1.3089969   -8.0293288947e-04    2.2839211779e-05
   0.5235988   1.5707963   -6.3675322810e-04   -3.3371653864e-04
   0.5235988   1.8325957   -5.1807178736e-04   -5.3175132183e-04
   0.5235988   2.0943951   -1.4996660153e-04   -5.4453954628e-04
   0.5235988   2.3561945    4.4954662020e-05   -6.1874523731e-04
   0.5235988   2.6179939    3.2390339471e-04   -5.9038001918e-04
   0.5235988   2.8797933    6.2934323944e-04   -2.6173443537e-04
   0.5235988   3.1415927    6.8421906620e-04    4.8478898672e-05
   0.5235988   3.4033920    4.1156043137e-04    4.0417659238e-04
   0.5235988   3.6651914    1.6444369427e-04    1.0080319051e-03
   0.5235988   3.9269908   -3.7093574869e-04    7.5733212788e-04
   0.5235988   4.1887902   -6.8535846638e-04    4.0775843424e-04
   0.5235988   4.4505896   -8.0352253591e-04    2.3109778058e-05
   0.5235988   4.7123890   -6.3653967462e-04   -3.2812472845e-04
   0.5235988   4.9741884   -5.1940188192e-04   -5.3264052474e-04
   0.5235988   5.2359878   -1.5113649189e-04   -5.4656506085e-04
   0.5235988   5.4977871    4.5121861753e-05   -6.1608892622e-04
   0.5235988   5.7595865    3.2478581575e-04   -5.9038972759e-04
   0.5235988   6.0213859    6.3063718064e-04   -2.6217007327e-04
   0.6108652   0.0000000    6.2661764012e-04    1.0801204504e-05
   0.6108652   0.2617994    5.1044792077e-04    5.5293102638e-04
   0.6108652   0.5235988    1.1373192528e-04    8.1011682046e-04
   0.6108652   0.7853982   -4.5366647421e-04    6.7569543133e-04
   0.6108652   1.0471976   -7.3857042180e-04    3.7386273832e-04
   0.6108652   1.3089969   -7.5283982674e-04    1.3474220832e-05
   0.6108652   1.5707963   -7.7787007473e-04   -2.9825138150e-04
   0.6108652   1.8325957   -4.9774471340e-04   -5.2452634033e-04
   0.6108652   2.0943951   -2.2357411291e-04   -5.2735891681e-04
   0.6108652   2.3561945   -8.3535344228e-06   -5.1270147971e-04
   0.6108652   2.6179939    2.1973199353e-04   -3.9613981897e-04
   0.6108652   2.8797933    5.6229929253e-04   -3.3080457737e-04
   0.6108652   3.1415927    6.2392313874e-04    1.4006466223e-05
   0.6108652   3.4033920    5.1013577427e-04    5.5241513091e-04
